class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassC,BasketballDrill,0,18,8,87.80309544956981,35.2,39.7,31.5,77.7,98.1,6,3,3,0,39,564,38,62,74.6,0.207,1,37,0,1925,1963,2527,2002,796.0,1209.0,1731.0
ClassC,BasketballDrill,32,18,8,36.74181266957148,2.7,5.4,1.8,20.6,62.0,2,0,1,1,126,792,21,23,5.9,0.154,0,21,0,185,206,998,332,18.0,314.0,980.0
ClassC,BasketballDrill,56,18,8,0.0,0.4,75.0,0.2,0.0,0.0,3,0,0,3,1,1500,0,0,-0.1,nan,0,0,0,0,0,1500,1,3.0,1.0,1497.0
ClassC,BasketballDrill,all,18,8,41.5149693730471,22.2,34.9,16.3,43.2,92.9,11,3,4,4,166,2856,59,85,38.7,0.202,1,58,0,2110,2169,5025,2335,817.0,1524.0,4208.0
ClassC,BasketballDrill,0,18,16,87.91896299672759,35.0,39.4,31.4,78.1,98.1,6,3,3,0,38,553,36,57,75.2,0.206,1,35,0,1938,1974,2527,2012,794.0,1221.0,1733.0
ClassC,BasketballDrill,32,18,16,37.00695679290313,2.8,5.6,1.9,20.4,60.2,2,0,1,1,135,794,20,22,4.9,0.155,0,20,0,184,204,998,339,19.0,320.0,979.0
ClassC,BasketballDrill,56,18,16,0.0,0.4,75.0,0.2,0.0,0.0,3,0,0,3,1,1500,0,0,-0.1,nan,0,0,0,0,0,1500,1,3.0,1.0,1497.0
ClassC,BasketballDrill,all,18,16,41.64197326321024,22.1,34.6,16.2,43.3,92.6,11,3,4,4,174,2847,56,79,38.8,0.201,1,55,0,2122,2178,5025,2352,816.0,1542.0,4209.0
ClassC,BasketballDrill,0,18,32,87.9716181436146,34.8,39.4,31.1,77.4,98.3,6,3,3,0,34,570,40,60,74.5,0.206,1,39,0,1917,1957,2527,1991,786.0,1208.0,1741.0
ClassC,BasketballDrill,32,18,32,37.348709409681206,3.1,6.6,2.0,20.8,69.1,2,0,1,1,93,790,20,22,9.5,0.158,0,20,0,188,208,998,301,20.0,281.0,978.0
ClassC,BasketballDrill,56,18,32,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,18,32,41.77344251776527,22.1,35.2,16.1,43.1,94.5,11,3,4,4,127,2860,60,82,39.4,0.202,1,59,0,2105,2165,5025,2292,809.0,1489.0,4216.0
ClassC,BasketballDrill,0,18,64,87.99810207759452,34.7,39.2,31.1,77.8,98.2,6,3,3,0,36,562,37,58,74.9,0.206,1,36,0,1928,1965,2527,2001,786.0,1218.0,1741.0
ClassC,BasketballDrill,32,18,64,37.38623069888416,3.0,6.0,2.0,20.3,60.6,2,0,1,1,132,795,20,23,5.1,0.155,0,20,0,183,203,998,335,20.0,315.0,978.0
ClassC,BasketballDrill,56,18,64,0.006060606060606061,0.4,50.0,0.2,0.0,0.0,3,0,0,3,3,1500,0,0,-0.2,nan,0,0,0,0,0,1500,3,3.0,3.0,1497.0
ClassC,BasketballDrill,all,18,64,41.79679779417977,22.0,34.5,16.1,43.1,92.7,11,3,4,4,171,2857,57,81,38.6,0.201,1,56,0,2111,2168,5025,2339,809.0,1536.0,4216.0
ClassC,BasketballDrill,0,22,8,87.79365658009372,32.4,36.8,28.9,77.1,98.3,6,3,3,0,33,579,42,60,74.1,0.205,1,41,0,1906,1948,2527,1981,731.0,1253.0,1796.0
ClassC,BasketballDrill,32,22,8,35.82668712161271,3.0,6.3,2.0,18.1,57.3,2,0,1,1,135,817,20,23,2.6,0.153,0,20,0,161,181,998,316,20.0,296.0,978.0
ClassC,BasketballDrill,56,22,8,0.0,0.4,60.0,0.2,0.0,0.0,3,0,0,3,2,1500,0,0,-0.1,nan,0,0,0,0,0,1500,2,3.0,2.0,1497.0
ClassC,BasketballDrill,all,22,8,41.20678123390215,20.6,32.7,15.0,42.4,92.6,11,3,4,4,170,2894,61,83,37.8,0.200,1,60,0,2070,2131,5025,2301,754.0,1553.0,4271.0
ClassC,BasketballDrill,0,22,16,87.36274044504107,30.4,34.9,26.9,75.7,98.2,6,3,3,0,36,613,43,67,72.6,0.209,2,41,0,1871,1914,2527,1950,681.0,1272.0,1846.0
ClassC,BasketballDrill,32,22,16,34.189822878973736,2.3,3.8,1.6,18.1,43.2,2,0,1,1,238,817,19,22,-7.6,0.152,0,19,0,162,181,998,419,16.0,403.0,982.0
ClassC,BasketballDrill,56,22,16,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,22,16,40.517521108004935,18.9,29.5,13.9,41.7,88.4,11,3,4,4,274,2930,62,89,35.0,0.204,2,60,0,2033,2095,5025,2369,700.0,1675.0,4325.0
ClassC,BasketballDrill,0,22,32,87.00569436308892,30.4,34.8,27.0,76.1,98.1,6,3,3,0,37,603,41,62,73.1,0.205,1,40,0,1883,1924,2527,1961,683.0,1281.0,1844.0
ClassC,BasketballDrill,32,22,32,35.72474382959749,3.0,6.2,2.0,18.6,58.1,2,0,1,1,134,812,18,20,3.4,0.155,0,18,0,168,186,998,320,20.0,300.0,978.0
ClassC,BasketballDrill,56,22,32,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,22,32,40.910146064228805,19.3,30.9,14.0,42.0,92.5,11,3,4,4,171,2915,59,82,37.4,0.201,1,58,0,2051,2110,5025,2281,706.0,1581.0,4319.0
