class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassD,BasketballPass,0,18,8,89.99039521186499,37.3,41.6,33.6,77.5,96.5,8,2,5,1,62,493,49,71,72.4,0.183,9,40,0,1649,1698,2191,1760,736.0,1033.0,1455.0
ClassD,BasketballPass,32,18,8,69.86395662236384,12.2,19.1,9.0,46.2,98.4,4,0,1,3,3,215,12,16,42.5,0.211,0,12,0,173,185,400,188,36.0,152.0,364.0
ClassD,BasketballPass,56,18,8,40.56537918628959,24.0,88.2,13.9,13.9,88.2,6,0,1,5,2,93,0,2,12.0,0.289,0,0,0,15,15,108,17,15.0,2.0,93.0
ClassD,BasketballPass,all,18,8,66.80657700683948,33.7,39.8,29.1,70.2,96.6,18,2,7,9,67,803,62,90,65.5,0.186,9,53,0,1834,1896,2699,1963,785.0,1187.0,1914.0
ClassD,BasketballPass,0,18,16,90.02771813675824,35.3,39.4,31.9,78.1,97.1,8,2,5,1,52,479,52,68,73.4,0.182,11,40,0,1660,1712,2191,1764,699.0,1074.0,1492.0
ClassD,BasketballPass,32,18,16,68.6754592757531,14.5,23.5,10.5,44.2,98.9,4,0,1,3,2,223,11,16,41.0,0.212,0,11,0,166,177,400,179,42.0,137.0,358.0
ClassD,BasketballPass,56,18,16,41.92170286334878,22.9,65.2,13.9,14.8,69.6,6,0,2,4,7,92,1,2,7.4,0.307,0,1,0,15,16,108,23,15.0,8.0,93.0
ClassD,BasketballPass,all,18,16,66.87496009195337,32.4,38.3,28.0,70.5,96.9,18,2,8,8,61,797,65,87,65.8,0.186,11,53,0,1837,1902,2699,1963,756.0,1216.0,1943.0
ClassD,BasketballPass,0,18,32,90.20100294379955,36.3,40.3,32.8,78.6,97.1,8,3,4,1,51,468,50,67,74.0,0.181,11,38,0,1673,1723,2191,1774,719.0,1064.0,1472.0
ClassD,BasketballPass,32,18,32,69.90558311490057,11.6,18.4,8.5,45.8,98.9,4,0,1,3,2,217,13,16,42.0,0.211,0,13,0,170,183,400,185,34.0,151.0,366.0
ClassD,BasketballPass,56,18,32,43.4373932793473,27.9,85.7,16.7,16.7,85.7,6,0,3,3,3,90,0,1,13.9,0.275,0,0,0,18,18,108,21,18.0,3.0,90.0
ClassD,BasketballPass,all,18,32,67.84799311268247,33.0,38.8,28.6,71.2,97.2,18,3,8,7,56,778,64,85,66.7,0.185,11,52,0,1857,1921,2699,1977,771.0,1215.0,1928.0
ClassD,BasketballPass,0,18,64,90.32993216243528,33.9,37.4,30.9,79.6,96.9,8,4,3,1,56,447,52,73,74.7,0.184,15,37,0,1692,1744,2191,1800,677.0,1132.0,1514.0
ClassD,BasketballPass,32,18,64,70.346356887936,11.8,18.1,8.8,47.5,98.4,4,0,1,3,3,210,11,13,44.0,0.216,0,11,0,179,190,400,193,35.0,158.0,365.0
ClassD,BasketballPass,56,18,64,42.64957059401503,21.5,63.6,13.0,13.9,68.2,6,0,1,5,7,93,2,3,5.6,0.276,0,1,0,13,15,108,22,14.0,8.0,94.0
ClassD,BasketballPass,all,18,64,67.77528654812878,30.9,36.0,27.0,72.2,96.7,18,4,5,9,66,749,66,90,67.4,0.188,15,50,0,1884,1950,2699,2016,728.0,1297.0,1971.0
ClassD,BasketballPass,0,22,8,90.25784195168463,36.5,40.3,33.3,79.4,96.7,8,3,4,1,59,451,49,64,74.5,0.182,11,38,0,1691,1740,2191,1799,729.0,1079.0,1462.0
ClassD,BasketballPass,32,22,8,65.54052727871641,11.9,20.0,8.5,41.8,98.2,4,0,1,3,3,233,11,14,38.2,0.213,0,11,0,156,167,400,170,34.0,136.0,366.0
ClassD,BasketballPass,56,22,8,40.7150269492025,40.6,93.3,25.9,25.9,93.3,6,0,3,3,2,80,0,2,24.1,0.288,0,0,0,28,28,108,30,28.0,2.0,80.0
ClassD,BasketballPass,all,22,8,65.50446539320117,33.6,39.3,29.3,71.9,96.8,18,3,8,7,64,759,60,80,67.3,0.186,11,49,0,1880,1940,2699,2004,791.0,1222.0,1908.0
ClassD,BasketballPass,0,22,16,90.41857515921077,36.8,41.2,33.1,78.1,97.7,8,3,4,1,41,480,51,69,73.9,0.180,9,41,0,1660,1711,2191,1752,725.0,1036.0,1466.0
ClassD,BasketballPass,32,22,16,66.16552956182592,14.5,24.6,10.2,41.0,98.2,4,0,1,3,3,236,12,15,37.3,0.207,0,12,0,152,164,400,167,41.0,126.0,359.0
ClassD,BasketballPass,56,22,16,38.55956403921233,23.9,61.5,14.8,14.8,61.5,6,0,2,4,10,92,0,2,5.6,0.208,0,0,0,16,16,108,26,16.0,10.0,92.0
ClassD,BasketballPass,all,22,16,65.04788958674968,33.7,40.0,29.0,70.1,97.2,18,3,7,8,54,808,63,86,65.7,0.183,9,53,0,1828,1891,2699,1945,782.0,1172.0,1917.0
ClassD,BasketballPass,0,22,32,90.59056093801125,36.5,40.5,33.1,78.9,97.1,8,3,4,1,51,462,49,67,74.3,0.181,10,39,0,1680,1729,2191,1780,725.0,1064.0,1466.0
ClassD,BasketballPass,32,22,32,65.74758267593735,15.0,26.2,10.5,39.2,98.1,4,0,1,3,3,243,13,17,35.2,0.204,0,13,0,144,157,400,160,42.0,118.0,358.0
