class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassE,FourPeople,0,18,8,20.935851253196155,27.6,65.2,17.5,21.7,81.0,22,5,0,17,675,10331,13,27,16.5,0.279,0,10,0,2856,2869,13200,3544,2312.0,1232.0,10888.0
ClassE,FourPeople,41,18,8,79.3208748093638,72.5,60.5,90.3,92.3,61.9,4,4,0,0,1366,184,3,5,35.3,0.307,0,3,0,2213,2216,2400,3582,2167.0,1415.0,233.0
ClassE,FourPeople,56,18,8,43.06896771059612,35.9,24.7,66.0,90.2,33.7,2,2,0,0,527,29,2,1,-87.9,0.311,0,2,0,266,268,297,795,196.0,599.0,101.0
ClassE,FourPeople,58,18,8,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.338,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,18,8,60.831423443289026,42.2,61.9,32.0,36.1,69.9,29,12,0,17,2568,10544,18,33,20.4,0.297,0,15,0,5935,5953,16497,8521,5275.0,3246.0,11222.0
ClassE,FourPeople,0,18,16,20.975458144609142,27.4,65.1,17.3,21.7,81.3,22,5,0,17,656,10341,18,24,16.6,0.287,0,12,0,2841,2859,13200,3515,2287.0,1228.0,10913.0
ClassE,FourPeople,41,18,16,79.53768368777187,62.6,52.1,78.4,92.0,61.2,4,4,0,0,1402,191,4,5,33.5,0.305,0,4,0,2205,2209,2400,3611,1882.0,1729.0,518.0
ClassE,FourPeople,56,18,16,43.7243990042227,37.9,26.6,66.0,89.9,36.2,2,2,0,0,470,30,2,1,-69.0,0.311,0,2,0,265,267,297,737,196.0,541.0,101.0
ClassE,FourPeople,58,18,16,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.337,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,18,16,61.05938448007906,39.8,58.7,30.1,36.0,70.1,29,12,0,17,2528,10562,24,30,20.5,0.300,0,18,0,5911,5935,16497,8463,4965.0,3498.0,11532.0
