class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,18,8,92.9165722353762,39.4,42.2,36.9,85.2,97.5,7,5,2,0,61,409,51,65,81.2,0.186,5,45,0,2307,2358,2767,2419,1022.0,1400.0,1745.0
ClassB,BasketballDrive,32,18,8,28.992915405966112,11.9,44.2,6.9,15.2,97.8,4,0,1,3,3,753,7,9,14.1,0.214,0,7,0,128,135,888,138,61.0,77.0,827.0
ClassB,BasketballDrive,56,18,8,52.68291847750288,28.3,26.5,30.1,60.0,52.9,6,0,6,0,368,276,25,27,3.0,0.18,0,25,0,389,414,690,782,208.0,578.0,482.0
ClassB,BasketballDrive,all,18,8,58.19746870628174,33.6,38.6,29.8,67.0,87.1,17,5,9,3,431,1434,83,102,55.2,0.186,6,77,1,2828,2911,4345,3342,1293.0,2056.0,3052.0
ClassB,BasketballDrive,0,18,16,92.90236149037122,43.2,46.2,40.6,85.4,97.4,7,5,2,0,63,403,51,66,81.3,0.186,5,45,0,2313,2364,2767,2427,1123.0,1307.0,1644.0
ClassB,BasketballDrive,32,18,16,28.459944402693825,8.8,34.4,5.1,14.5,98.5,4,0,1,3,2,759,8,10,13.4,0.215,0,8,0,121,129,888,131,45.0,86.0,843.0
ClassB,BasketballDrive,56,18,16,53.062048726269616,28.1,26.3,30.0,61.2,53.8,6,0,6,0,362,268,27,29,4.8,0.179,0,27,0,395,422,690,784,207.0,581.0,483.0
ClassB,BasketballDrive,all,18,16,58.141451539778224,35.8,41.0,31.6,67.1,87.2,17,5,9,3,428,1430,86,106,55.3,0.186,5,80,0,2829,2915,4345,3343,1375.0,1975.0,2970.0
ClassB,BasketballDrive,0,18,32,92.9958817261534,43.3,46.3,40.7,85.5,97.4,7,5,2,0,63,402,51,66,81.4,0.186,6,44,0,2314,2365,2767,2428,1126.0,1305.0,1641.0
ClassB,BasketballDrive,32,18,32,28.484337501881203,9.2,34.1,5.3,15.3,98.6,4,0,1,3,2,752,8,9,14.2,0.218,0,8,0,128,136,888,138,47.0,91.0,841.0
ClassB,BasketballDrive,56,18,32,52.962253856859455,28.0,26.3,29.9,61.4,54.4,6,0,6,0,355,266,26,28,6.2,0.18,0,26,0,398,424,690,779,206.0,577.0,484.0
ClassB,BasketballDrive,all,18,32,58.14749102829801,35.9,41.2,31.8,67.4,87.5,17,5,9,3,418,1418,85,103,55.8,0.186,6,78,0,2842,2927,4345,3345,1381.0,1971.0,2964.0
ClassB,BasketballDrive,0,18,64,93.17952402616318,43.1,45.9,40.5,85.5,97.2,7,5,2,0,68,400,49,67,81.3,0.186,5,43,0,2318,2367,2767,2435,1120.0,1318.0,1647.0
ClassB,BasketballDrive,32,18,64,28.492054983764127,9.6,36.0,5.5,15.1,98.5,4,0,1,3,2,754,8,11,14.0,0.216,0,8,0,126,134,888,136,49.0,87.0,839.0
ClassB,BasketballDrive,56,18,64,53.28354439067634,28.5,26.9,30.1,60.6,54.4,6,0,6,0,351,272,27,29,5.8,0.18,0,27,0,391,418,690,769,208.0,565.0,482.0
ClassB,BasketballDrive,all,18,64,58.31837446686789,35.8,41.2,31.7,67.2,87.4,17,5,9,3,421,1427,84,107,55.5,0.187,5,78,0,2834,2918,4345,3339,1377.0,1969.0,2968.0
ClassB,BasketballDrive,0,22,8,92.8074693675528,43.3,46.3,40.7,85.4,97.3,7,5,2,0,66,405,50,67,81.2,0.186,5,44,0,2312,2362,2767,2428,1125.0,1306.0,1642.0
ClassB,BasketballDrive,32,22,8,27.86806417879968,9.2,35.1,5.3,14.8,97.8,4,0,1,3,3,757,8,10,13.5,0.223,0,8,0,123,131,888,134,47.0,87.0,841.0
ClassB,BasketballDrive,56,22,8,51.85599694586615,28.1,26.2,30.0,60.9,53.5,6,0,6,0,365,270,25,27,4.3,0.182,0,25,0,395,420,690,785,207.0,582.0,483.0
ClassB,BasketballDrive,all,22,8,57.51051016407288,35.9,41.2,31.8,67.1,87.1,17,5,9,3,433,1430,83,105,55.2,0.187,6,77,1,2832,2915,4345,3348,1381.0,1974.0,2964.0
ClassB,BasketballDrive,0,22,16,93.07896235421748,41.9,44.8,39.2,85.2,97.5,7,5,2,0,60,410,51,67,81.2,0.188,7,43,0,2306,2357,2767,2417,1085.0,1335.0,1682.0
ClassB,BasketballDrive,32,22,16,26.71381381422982,11.7,42.6,6.8,15.4,97.2,4,0,1,3,4,751,6,8,14.3,0.211,0,6,0,131,137,888,141,60.0,81.0,828.0
ClassB,BasketballDrive,56,22,16,52.06264246150665,27.9,26.0,30.0,60.3,52.5,6,0,6,0,376,274,27,28,1.9,0.183,0,27,0,389,416,690,792,207.0,589.0,483.0
ClassB,BasketballDrive,all,22,16,57.28513954331799,35.2,40.4,31.2,67.1,87.0,17,5,9,3,437,1431,84,104,55.1,0.188,8,76,1,2830,2914,4345,3351,1355.0,2003.0,2990.0
ClassB,BasketballDrive,0,22,32,93.0007958145104,38.1,40.8,35.7,85.0,97.4,7,5,2,0,64,414,56,69,80.7,0.187,10,45,0,2297,2353,2767,2417,987.0,1433.0,1780.0
ClassB,BasketballDrive,32,22,32,28.005839694054192,9.0,35.7,5.2,14.3,98.4,4,0,1,3,2,761,8,9,13.2,0.214,0,8,0,119,127,888,129,46.0,83.0,842.0
ClassB,BasketballDrive,56,22,32,51.52991884633956,27.8,25.9,29.9,60.0,52.4,6,0,6,0,376,276,25,27,1.9,0.183,0,25,0,389,414,690,790,206.0,588.0,484.0
ClassB,BasketballDrive,all,22,32,57.512184784968056,35.0,40.2,30.9,66.7,86.8,17,5,9,3,442,1447,88,106,54.5,0.188,11,77,1,2810,2898,4345,3340,1344.0,2003.0,3001.0
ClassB,BasketballDrive,0,22,64,92.96033342313964,42.0,44.8,39.4,85.5,97.4,7,5,2,0,63,401,51,67,81.4,0.188,8,42,0,2315,2366,2767,2429,1090.0,1342.0,1677.0
ClassB,BasketballDrive,32,22,64,26.80975985963532,11.0,42.7,6.3,14.5,98.5,4,0,1,3,2,759,9,11,13.3,0.219,0,9,0,120,129,888,131,56.0,75.0,832.0
