class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,0,0,93.00230651,42,44.9,39.4,85.3,97.4,7,5,2,0,62,407,51,66,81.2,0.187,7,43,0,2309,2360,2767,2422,1089,1336,1678
ClassB,BasketballDrive,32,0,0,28.42617537,12.1,44,7,15.4,97.2,4,0,1,3,4,751,6,8,14.3,0.214,0,6,0,131,137,888,141,62,79,826
ClassB,BasketballDrive,56,0,0,52.96685167,28.1,26.3,30,60.7,53.4,6,0,6,0,365,271,26,29,4.1,0.179,0,26,0,393,419,690,784,207,581,483
ClassB,BasketballDrive,all,0,0,58.13190678,35.3,40.5,31.3,67.1,87.1,17,5,9,3,431,1428,83,103,55.3,0.187,7,75,0,2834,2917,4345,3348,1358,1997,2987
ClassB,Cactus,58,0,0,67.95662508,28.2,34.1,24,60.2,85.5,1,0,1,0,51,199,7,11,48.6,0.118,0,7,0,294,301,500,352,120,232,380
ClassB,Cactus,all,0,0,67.95662508,28.2,34.1,24,60.2,85.5,1,0,1,0,51,199,7,11,48.6,0.118,0,7,0,294,301,500,352,120,232,380
ClassB,Kimono,0,0,0,53.40846995,58.9,59.6,58.3,97.9,100,1,1,0,0,0,5,1,1,97.5,0.143,0,1,0,234,235,240,235,140,95,100
ClassB,Kimono,26,0,0,2.276867031,0,nan,0,0,nan,1,0,0,1,0,122,0,0,0,nan,0,0,0,0,0,122,0,0,0,122
ClassB,Kimono,all,0,0,51.13843352,46.9,59.6,38.7,64.9,100,2,1,0,1,0,127,1,1,64.6,0.143,0,1,0,234,235,362,235,140,95,222
ClassB,ParkScene,0,0,0,90.33540229,62.7,70.3,56,78.4,99.8,3,2,1,0,1,122,9,13,76.7,0.155,1,8,0,435,444,566,445,317,134,249
ClassB,ParkScene,1,0,0,96.18268502,91.3,95.9,87.2,89.1,97.9,3,3,0,0,6,35,1,3,86.9,0.196,0,1,0,284,285,320,291,279,12,41
ClassB,ParkScene,13,0,0,29.26370351,10.3,50,5.7,10.2,94,4,0,1,3,4,552,5,10,8.8,0.275,0,5,0,58,63,615,67,35,35,580
ClassB,ParkScene,all,0,0,71.92726361,54.8,77.7,42,52.8,98.6,10,5,2,3,11,709,15,26,51,0.179,1,14,0,777,792,1501,803,631,181,870
ClassC,BasketballDrill,0,0,0,88.20109872,35.3,39.7,31.7,78.4,98.4,6,3,3,0,33,545,36,57,75.7,0.209,1,35,0,1946,1982,2527,2015,802,1216,1725
ClassC,BasketballDrill,32,0,0,37.18139663,2.9,5.9,1.9,20.4,63.6,2,0,1,1,117,794,20,21,6.7,0.158,0,20,0,184,204,998,321,19,302,979
ClassC,BasketballDrill,56,0,0,0,0.4,50,0.2,0,0,3,0,0,3,3,1500,0,0,-0.2,nan,0,0,0,0,0,1500,3,3,3,1497
ClassC,BasketballDrill,all,0,0,41.79416512,22.4,35.1,16.4,43.5,93.5,11,3,4,4,153,2839,56,78,39.3,0.204,1,55,0,2130,2186,5025,2339,824,1521,4201
ClassC,RaceHorsesC,0,0,0,85.23284458,77.4,89.2,68.3,75.8,99.1,7,3,3,1,5,184,5,10,74.5,0.139,0,5,0,571,576,760,581,519,63,241
ClassC,RaceHorsesC,17,0,0,72.99363727,56.4,68.3,47.6,64.7,94,6,1,5,0,36,306,13,23,59,0.152,1,12,0,547,560,866,596,412,191,454
ClassC,RaceHorsesC,all,0,0,79.11324093,66.2,78.2,57.2,70.1,96.4,13,4,8,1,42,486,18,34,66.4,0.147,1,17,0,1122,1140,1626,1182,930,260,696
ClassD,BasketballPass,0,0,0,90.25323818,33.8,37.7,30.5,77.9,96.7,8,4,3,1,58,484,52,73,72.9,0.185,11,41,0,1655,1707,2191,1765,669,1105,1522
ClassD,BasketballPass,32,0,0,72.18240932,12.4,18.6,9.2,49.2,99,4,0,1,3,2,203,13,15,45.5,0.215,0,13,0,184,197,400,199,37,162,363
ClassD,BasketballPass,56,0,0,51.21114413,50.3,94.9,34.3,34.3,94.9,6,0,3,3,2,71,0,2,32.4,0.19,0,0,0,37,37,108,39,37,2,71
ClassD,BasketballPass,all,0,0,71.21559721,31.6,37,27.5,71.8,96.9,18,4,7,7,62,762,66,91,67,0.188,11,55,0,1871,1937,2699,1999,743,1265,1956
ClassD,BlowingBubbles,0,0,0,89.71196851,69.8,66.9,73,94.1,86.3,3,2,0,1,154,61,2,5,79,0.1,0,2,0,969,971,1032,1125,753,373,279
ClassD,BlowingBubbles,41,0,0,42.31330476,10.3,48.1,5.8,12,100,1,0,0,1,0,198,3,4,10.7,0.195,0,3,0,24,27,225,27,13,14,212
ClassD,BlowingBubbles,77,0,0,99.77100697,95.8,92,100,100,92,1,1,0,0,33,0,0,0,91.3,0.137,0,0,0,378,378,378,411,378,33,0
ClassD,BlowingBubbles,all,0,0,77.26542674,71.5,73.1,70,84.2,88,5,3,0,2,187,259,5,9,72.4,0.112,0,5,0,1371,1376,1635,1563,1144,420,491
ClassD,RaceHorsesD,0,0,0,84.78178235,70.3,81.1,62,75,98.3,7,3,3,1,10,190,6,12,72.9,0.136,0,6,0,564,570,760,580,471,110,289
ClassD,RaceHorsesD,17,0,0,71.68057356,56,70.6,46.1,60.9,94.4,6,1,5,0,31,339,14,24,55.7,0.143,2,11,0,513,527,866,558,399,166,467
ClassD,RaceHorsesD,all,0,0,78.23117795,64.6,77.7,55,67.8,96.4,13,4,8,1,41,524,20,36,64,0.14,2,17,0,1082,1102,1626,1143,894,257,732
ClassE,FourPeople,0,0,0,20.65358469,28.1,68.4,17.7,21.5,83.1,22,5,0,17,578,10362,12,24,17,0.288,0,7,0,2826,2838,13200,3416,2338,1078,10862
ClassE,FourPeople,41,0,0,79.1697492,72,59.9,90.2,92.3,61.3,4,4,0,0,1399,184,2,3,34,0.307,0,2,0,2214,2216,2400,3615,2166,1449,234
ClassE,FourPeople,56,0,0,42.47819706,36.7,25.8,63.6,87.9,35.7,2,2,0,0,471,36,2,2,-71.4,0.317,0,2,0,259,261,297,732,189,543,108
ClassE,FourPeople,58,0,0,100,100,100,100,100,100,1,1,0,0,0,0,0,0,100,0.34,0,0,0,600,600,600,600,600,0,0
ClassE,FourPeople,all,0,0,60.57535886,42.6,63.3,32.1,35.9,70.7,29,12,0,17,2448,10582,16,29,20.9,0.302,0,11,0,5899,5915,16497,8363,5293,3070,11204
ClassE,Johnny,0,0,0,97.71739039,94.7,90,100,100,90,9,9,0,0,600,0,0,0,88.9,0.236,0,0,0,5400,5400,5400,6000,5400,600,0
ClassE,Johnny,27,0,0,100,100,100,100,100,100,1,1,0,0,0,0,0,0,100,0.14,0,0,0,600,600,600,600,600,0,0
ClassE,Johnny,63,0,0,100,100,100,100,100,100,1,1,0,0,0,0,0,0,100,0.209,0,0,0,600,600,600,600,600,0,0
ClassE,Johnny,all,0,0,99.23913013,95.7,91.7,100,100,91.7,11,11,0,0,600,0,0,0,90.9,0.225,0,0,0,6600,6600,6600,7200,6600,600,0
