class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,0,0,100.0,35.2,37.7,33.0,87.2,100.0,7,6,1,0,1,353,59,58,85.1,0.106,9,51,1,2355,2414,2767,2415,912.0,1506.0,1855.0
ClassB,BasketballDrive,32,0,0,100.0,32.0,36.7,28.3,76.9,100.0,4,1,3,0,0,205,28,30,73.8,0.130,0,28,0,655,683,888,683,251.0,432.0,637.0
ClassB,BasketballDrive,56,0,0,100.0,41.0,55.2,32.5,58.3,100.0,6,0,6,0,0,288,19,24,55.5,0.075,0,19,0,383,402,690,402,224.0,182.0,466.0
ClassB,BasketballDrive,all,0,0,100.0,35.4,39.5,31.9,80.5,100.0,17,7,10,0,1,846,106,112,78.1,0.107,9,98,1,3393,3499,4345,3500,1387.0,2120.0,2958.0
ClassB,BasketballDrive,0,18,8,100.0,35.2,37.7,33.0,87.2,100.0,7,6,1,0,1,353,59,58,85.1,0.106,9,51,1,2355,2414,2767,2415,912.0,1506.0,1855.0
ClassB,BasketballDrive,32,18,8,100.0,32.0,36.7,28.3,76.9,100.0,4,1,3,0,0,205,28,30,73.8,0.130,0,28,0,655,683,888,683,251.0,432.0,637.0
ClassB,BasketballDrive,56,18,8,100.0,41.0,55.2,32.5,58.3,100.0,6,0,6,0,0,288,19,24,55.5,0.075,0,19,0,383,402,690,402,224.0,182.0,466.0
ClassB,BasketballDrive,all,18,8,100.0,35.4,39.5,31.9,80.5,100.0,17,7,10,0,1,846,106,112,78.1,0.107,9,98,1,3393,3499,4345,3500,1387.0,2120.0,2958.0
ClassB,BasketballDrive,0,18,16,100.0,35.2,37.7,33.0,87.2,100.0,7,6,1,0,1,353,59,58,85.1,0.106,9,51,1,2355,2414,2767,2415,912.0,1506.0,1855.0
ClassB,BasketballDrive,32,18,16,100.0,32.0,36.7,28.3,76.9,100.0,4,1,3,0,0,205,28,30,73.8,0.130,0,28,0,655,683,888,683,251.0,432.0,637.0
