class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassD,RaceHorsesD,0,18,8,77.5,89.3,68.3,75.1,98.4,7,3,2,2,9,189,5,9,73.3,0.135,0,5,0,566,571,760,580,519.0,62.0,241.0
ClassD,RaceHorsesD,17,18,8,48.6,63.0,39.3,58.9,95.7,6,1,5,0,23,356,13,28,54.7,0.144,1,12,0,497,510,866,533,340.0,200.0,526.0
ClassD,RaceHorsesD,all,18,8,62.5,76.1,52.8,66.8,97.0,13,4,7,2,34,540,18,38,63.6,0.140,1,17,0,1068,1086,1626,1120,858.0,270.0,768.0
ClassD,RaceHorsesD,0,18,16,77.0,88.8,67.9,75.0,98.3,7,3,2,2,10,190,7,12,72.8,0.135,0,7,0,563,570,760,580,516.0,65.0,244.0
ClassD,RaceHorsesD,17,18,16,54.9,70.9,44.5,59.6,96.3,6,1,5,0,20,350,14,25,55.7,0.144,1,12,0,502,516,866,536,385.0,158.0,481.0
ClassD,RaceHorsesD,all,18,16,65.7,80.0,55.4,66.9,97.2,13,4,7,2,31,539,22,39,63.6,0.139,2,19,0,1065,1087,1626,1118,901.0,225.0,725.0
ClassD,RaceHorsesD,0,18,32,70.7,82.2,62.0,74.3,98.8,7,3,2,2,7,195,6,9,72.6,0.134,0,6,0,559,565,760,572,471.0,102.0,289.0
ClassD,RaceHorsesD,17,18,32,51.5,66.7,41.6,58.3,94.7,6,1,5,0,28,361,13,28,53.6,0.150,2,11,0,492,505,866,533,360.0,180.0,506.0
ClassD,RaceHorsesD,all,18,32,60.7,74.8,50.8,65.4,96.9,13,4,7,2,34,563,21,38,62.0,0.141,3,17,0,1042,1063,1626,1097,826.0,279.0,800.0
ClassD,RaceHorsesD,0,18,64,68.9,80.0,60.4,74.2,98.4,7,3,2,2,9,196,6,11,72.2,0.137,0,6,0,558,564,760,573,459.0,115.0,301.0
ClassD,RaceHorsesD,17,18,64,54.9,69.6,44.9,59.9,94.0,6,1,5,0,33,347,13,30,54.6,0.145,2,11,0,506,519,866,552,389.0,170.0,477.0
ClassD,RaceHorsesD,all,18,64,61.6,74.6,52.2,66.9,96.3,13,4,7,2,42,539,19,41,63.1,0.142,2,17,0,1068,1087,1626,1129,848.0,289.0,778.0
ClassD,RaceHorsesD,0,22,8,68.8,79.9,60.3,74.2,98.6,7,3,2,2,8,196,7,12,72.2,0.140,0,7,0,557,564,760,572,458.0,115.0,302.0
ClassD,RaceHorsesD,17,22,8,52.4,69.3,41.8,55.7,93.6,6,1,5,0,33,384,16,29,50.0,0.137,2,14,0,466,482,866,515,362.0,160.0,504.0
ClassD,RaceHorsesD,all,22,8,60.6,75.3,50.5,64.3,96.5,13,4,7,2,38,581,23,42,60.5,0.139,3,20,0,1022,1045,1626,1083,821.0,270.0,805.0
ClassD,RaceHorsesD,0,22,16,67.7,79.4,58.9,72.8,98.2,7,3,2,2,10,207,7,13,70.5,0.136,0,7,0,546,553,760,563,448.0,116.0,312.0
ClassD,RaceHorsesD,17,22,16,49.6,63.7,40.3,59.6,95.4,6,1,5,0,25,350,15,25,55.0,0.141,3,12,0,501,516,866,541,349.0,199.0,517.0
ClassD,RaceHorsesD,all,22,16,58.5,71.8,49.1,65.7,96.7,13,4,7,2,36,558,22,39,62.1,0.139,3,19,0,1046,1068,1626,1104,798.0,314.0,828.0
ClassD,RaceHorsesD,0,22,32,69.5,80.8,60.9,73.9,98.3,7,3,2,2,10,198,7,11,71.7,0.137,0,7,0,555,562,760,572,463.0,110.0,297.0
ClassD,RaceHorsesD,17,22,32,47.4,61.5,38.2,57.9,94.4,6,1,5,0,30,365,16,27,52.5,0.137,3,13,1,485,501,866,531,331.0,207.0,535.0
ClassD,RaceHorsesD,all,22,32,58.1,71.4,48.7,65.3,96.4,13,4,7,2,40,565,24,40,61.3,0.137,4,20,1,1037,1061,1626,1101,792.0,317.0,834.0
ClassD,RaceHorsesD,0,22,64,77.2,88.9,68.2,75.1,98.1,7,3,2,2,11,189,6,10,72.9,0.134,0,6,0,565,571,760,582,518.0,65.0,242.0
ClassD,RaceHorsesD,17,22,64,43.7,60.2,34.1,53.3,95.7,6,0,6,0,21,404,16,28,49.1,0.135,3,12,0,446,462,866,483,295.0,195.0,571.0
ClassD,RaceHorsesD,all,22,64,60.0,75.0,49.7,63.6,96.7,13,3,8,2,35,592,23,41,60.0,0.136,4,18,0,1011,1034,1626,1069,808.0,269.0,818.0
ClassD,RaceHorsesD,0,26,8,69.8,82.7,60.3,72.1,99.1,7,3,2,2,5,212,7,10,70.5,0.140,0,7,0,541,548,760,553,458.0,96.0,302.0
ClassD,RaceHorsesD,17,26,8,48.0,64.4,37.9,56.0,96.6,6,0,6,0,17,381,14,26,52.4,0.136,1,13,0,471,485,866,502,328.0,181.0,538.0
ClassD,RaceHorsesD,all,26,8,58.3,73.6,48.1,63.5,97.8,13,3,8,2,23,594,23,39,60.6,0.138,2,21,0,1009,1032,1626,1055,782.0,281.0,844.0
ClassD,RaceHorsesD,0,26,16,70.2,82.7,60.9,72.6,98.7,7,3,2,2,7,208,7,11,70.8,0.136,0,7,0,545,552,760,559,463.0,97.0,297.0
ClassD,RaceHorsesD,17,26,16,56.9,74.8,45.5,57.9,96.3,6,1,5,0,19,365,10,22,54.5,0.134,3,8,1,491,501,866,520,394.0,133.0,472.0
ClassD,RaceHorsesD,all,26,16,63.3,78.8,52.6,64.7,97.7,13,4,7,2,25,574,19,34,62.0,0.135,3,17,1,1033,1052,1626,1077,855.0,230.0,771.0
ClassD,RaceHorsesD,0,26,32,68.2,80.5,59.1,72.2,98.6,7,3,2,2,8,211,6,13,70.4,0.139,0,6,0,543,549,760,557,449.0,109.0,311.0
