class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,18,8,39.4,42.2,36.9,85.2,97.5,7,5,2,0,61,409,51,65,81.2,0.186,5,45,0,2307,2358,2767,2419,1022.0,1400.0,1745.0
ClassB,BasketballDrive,32,18,8,11.9,44.2,6.9,15.2,97.8,4,0,1,3,3,753,7,9,14.1,0.214,0,7,0,128,135,888,138,61.0,77.0,827.0
ClassB,BasketballDrive,56,18,8,28.3,26.5,30.1,60.0,52.9,6,0,6,0,368,276,25,27,3.0,0.180,0,25,0,389,414,690,782,208.0,578.0,482.0
ClassB,BasketballDrive,all,18,8,33.6,38.6,29.8,67.0,87.1,17,5,9,3,431,1434,83,102,55.2,0.186,6,77,1,2828,2911,4345,3342,1293.0,2056.0,3052.0
ClassB,BasketballDrive,0,18,16,43.2,46.2,40.6,85.4,97.4,7,5,2,0,63,403,51,66,81.3,0.186,5,45,0,2313,2364,2767,2427,1123.0,1307.0,1644.0
ClassB,BasketballDrive,32,18,16,8.8,34.4,5.1,14.5,98.5,4,0,1,3,2,759,8,10,13.4,0.215,0,8,0,121,129,888,131,45.0,86.0,843.0
ClassB,BasketballDrive,56,18,16,28.1,26.3,30.0,61.2,53.8,6,0,6,0,362,268,27,29,4.8,0.179,0,27,0,395,422,690,784,207.0,581.0,483.0
ClassB,BasketballDrive,all,18,16,35.8,41.0,31.6,67.1,87.2,17,5,9,3,428,1430,86,106,55.3,0.186,5,80,0,2829,2915,4345,3343,1375.0,1975.0,2970.0
ClassB,BasketballDrive,0,22,8,43.3,46.3,40.7,85.4,97.3,7,5,2,0,66,405,50,67,81.2,0.186,5,44,0,2312,2362,2767,2428,1125.0,1306.0,1642.0
ClassB,BasketballDrive,32,22,8,9.2,35.1,5.3,14.8,97.8,4,0,1,3,3,757,8,10,13.5,0.223,0,8,0,123,131,888,134,47.0,87.0,841.0
ClassB,BasketballDrive,56,22,8,28.1,26.2,30.0,60.9,53.5,6,0,6,0,365,270,25,27,4.3,0.182,0,25,0,395,420,690,785,207.0,582.0,483.0
ClassB,BasketballDrive,all,22,8,35.9,41.2,31.8,67.1,87.1,17,5,9,3,433,1430,83,105,55.2,0.187,6,77,1,2832,2915,4345,3348,1381.0,1974.0,2964.0
ClassB,BasketballDrive,0,22,16,41.9,44.8,39.2,85.2,97.5,7,5,2,0,60,410,51,67,81.2,0.188,7,43,0,2306,2357,2767,2417,1085.0,1335.0,1682.0
ClassB,BasketballDrive,32,22,16,11.7,42.6,6.8,15.4,97.2,4,0,1,3,4,751,6,8,14.3,0.211,0,6,0,131,137,888,141,60.0,81.0,828.0
ClassB,BasketballDrive,56,22,16,27.9,26.0,30.0,60.3,52.5,6,0,6,0,376,274,27,28,1.9,0.183,0,27,0,389,416,690,792,207.0,589.0,483.0
ClassB,BasketballDrive,all,22,16,35.2,40.4,31.2,67.1,87.0,17,5,9,3,437,1431,84,104,55.1,0.188,8,76,1,2830,2914,4345,3351,1355.0,2003.0,2990.0
ClassB,BasketballDrive,0,26,8,41.8,44.7,39.2,85.1,97.2,7,5,2,0,68,413,52,69,80.7,0.188,6,45,0,2302,2354,2767,2422,1084.0,1341.0,1683.0
ClassB,BasketballDrive,32,26,8,10.5,42.7,6.0,13.6,97.6,4,0,1,3,3,767,6,8,12.6,0.216,0,6,0,115,121,888,124,53.0,71.0,835.0
ClassB,BasketballDrive,56,26,8,29.4,27.3,31.6,58.8,51.1,6,0,6,0,388,284,24,26,-0.9,0.179,0,24,0,382,406,690,794,218.0,580.0,472.0
ClassB,BasketballDrive,all,26,8,35.3,40.5,31.3,66.4,86.2,17,5,9,3,460,1461,82,104,53.9,0.188,7,75,1,2802,2884,4345,3344,1358.0,1993.0,2987.0
ClassB,BasketballDrive,0,26,16,41.8,44.7,39.2,85.4,97.5,7,5,2,0,60,405,50,66,81.4,0.187,6,43,0,2312,2362,2767,2422,1084.0,1341.0,1683.0
ClassB,BasketballDrive,32,26,16,8.4,36.2,4.7,12.7,97.4,4,0,1,3,3,775,8,8,11.5,0.211,0,8,0,105,113,888,116,42.0,74.0,846.0
ClassB,BasketballDrive,56,26,16,27.3,25.6,29.0,57.7,51.3,6,0,6,0,378,292,24,27,-0.6,0.181,0,24,0,374,398,690,776,200.0,580.0,490.0
ClassB,BasketballDrive,all,26,16,34.7,40.0,30.6,66.2,86.8,17,5,9,3,439,1469,82,101,54.2,0.187,7,75,1,2794,2876,4345,3315,1328.0,1994.0,3017.0
ClassB,BasketballDrive,0,30,8,43.4,46.7,40.4,84.4,97.5,7,5,2,0,60,433,51,65,80.3,0.184,7,42,0,2283,2334,2767,2394,1119.0,1278.0,1648.0
ClassB,BasketballDrive,32,30,8,9.9,42.4,5.6,12.8,96.6,4,0,1,3,4,774,7,10,11.6,0.217,0,7,0,107,114,888,118,50.0,68.0,838.0
ClassB,BasketballDrive,56,30,8,29.6,27.6,31.6,59.9,52.6,6,0,6,0,372,277,24,26,2.5,0.183,0,24,0,389,413,690,785,218.0,571.0,472.0
ClassB,BasketballDrive,all,30,8,36.4,42.1,32.0,65.9,86.8,17,5,9,3,434,1480,82,103,54.1,0.185,8,73,1,2783,2865,4345,3299,1391.0,1915.0,2954.0
ClassB,BasketballDrive,0,30,16,43.1,46.2,40.3,84.7,97.3,7,5,2,0,66,422,50,66,80.6,0.185,6,42,0,2295,2345,2767,2411,1116.0,1298.0,1651.0
ClassB,BasketballDrive,32,30,16,8.9,37.5,5.1,13.3,98.3,4,0,1,3,2,770,8,8,12.2,0.212,0,8,0,110,118,888,120,45.0,75.0,843.0
ClassB,BasketballDrive,56,30,16,30.3,29.0,31.6,58.1,53.7,6,0,6,0,346,289,22,24,4.8,0.182,0,22,0,379,401,690,747,218.0,533.0,472.0
ClassB,BasketballDrive,all,30,16,36.2,42.0,31.8,66.0,87.4,17,5,9,3,414,1478,80,99,54.6,0.186,6,72,0,2787,2867,4345,3281,1382.0,1906.0,2963.0
