class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,18,32,43.3,46.3,40.7,85.5,97.4,7,5,2,0,63,402,51,66,81.4,0.186,6,44,0,2314,2365,2767,2428,1126.0,1305.0,1641.0
ClassB,BasketballDrive,32,18,32,9.2,34.1,5.3,15.3,98.6,4,0,1,3,2,752,8,9,14.2,0.218,0,8,0,128,136,888,138,47.0,91.0,841.0
ClassB,BasketballDrive,56,18,32,28.0,26.3,29.9,61.4,54.4,6,0,6,0,355,266,26,28,6.2,0.180,0,26,0,398,424,690,779,206.0,577.0,484.0
ClassB,BasketballDrive,all,18,32,35.9,41.2,31.8,67.4,87.5,17,5,9,3,418,1418,85,103,55.8,0.186,6,78,0,2842,2927,4345,3345,1381.0,1971.0,2964.0
ClassB,BasketballDrive,0,18,64,43.1,45.9,40.5,85.5,97.2,7,5,2,0,68,400,49,67,81.3,0.186,5,43,0,2318,2367,2767,2435,1120.0,1318.0,1647.0
ClassB,BasketballDrive,32,18,64,9.6,36.0,5.5,15.1,98.5,4,0,1,3,2,754,8,11,14.0,0.216,0,8,0,126,134,888,136,49.0,87.0,839.0
ClassB,BasketballDrive,56,18,64,28.5,26.9,30.1,60.6,54.4,6,0,6,0,351,272,27,29,5.8,0.180,0,27,0,391,418,690,769,208.0,565.0,482.0
ClassB,BasketballDrive,all,18,64,35.8,41.2,31.7,67.2,87.4,17,5,9,3,421,1427,84,107,55.5,0.187,5,78,0,2834,2918,4345,3339,1377.0,1969.0,2968.0
ClassB,BasketballDrive,0,22,32,38.1,40.8,35.7,85.0,97.4,7,5,2,0,64,414,56,69,80.7,0.187,10,45,0,2297,2353,2767,2417,987.0,1433.0,1780.0
ClassB,BasketballDrive,32,22,32,9.0,35.7,5.2,14.3,98.4,4,0,1,3,2,761,8,9,13.2,0.214,0,8,0,119,127,888,129,46.0,83.0,842.0
ClassB,BasketballDrive,56,22,32,27.8,25.9,29.9,60.0,52.4,6,0,6,0,376,276,25,27,1.9,0.183,0,25,0,389,414,690,790,206.0,588.0,484.0
ClassB,BasketballDrive,all,22,32,35.0,40.2,30.9,66.7,86.8,17,5,9,3,442,1447,88,106,54.5,0.188,11,77,1,2810,2898,4345,3340,1344.0,2003.0,3001.0
ClassB,BasketballDrive,0,22,64,42.0,44.8,39.4,85.5,97.4,7,5,2,0,63,401,51,67,81.4,0.188,8,42,0,2315,2366,2767,2429,1090.0,1342.0,1677.0
ClassB,BasketballDrive,32,22,64,11.0,42.7,6.3,14.5,98.5,4,0,1,3,2,759,9,11,13.3,0.219,0,9,0,120,129,888,131,56.0,75.0,832.0
ClassB,BasketballDrive,56,22,64,28.6,27.1,30.0,58.4,53.0,6,0,6,0,357,287,26,27,2.9,0.182,0,26,0,377,403,690,760,207.0,557.0,483.0
ClassB,BasketballDrive,all,22,64,35.4,40.7,31.2,66.8,87.4,17,5,9,3,420,1444,86,105,55.1,0.188,9,77,1,2815,2901,4345,3321,1355.0,1973.0,2990.0
ClassB,BasketballDrive,0,26,32,41.6,44.5,39.1,85.3,97.2,7,5,2,0,68,408,54,69,80.8,0.187,7,45,0,2305,2359,2767,2427,1081.0,1349.0,1686.0
ClassB,BasketballDrive,32,26,32,10.0,38.1,5.7,14.8,97.8,4,0,1,3,3,757,7,9,13.6,0.220,0,7,0,124,131,888,134,51.0,83.0,837.0
ClassB,BasketballDrive,56,26,32,29.6,27.6,31.9,58.8,51.1,6,0,6,0,388,284,22,25,-0.6,0.185,0,22,0,384,406,690,794,220.0,578.0,470.0
ClassB,BasketballDrive,all,26,32,35.2,40.3,31.2,66.7,86.4,17,5,9,3,456,1445,83,105,54.3,0.188,8,74,1,2817,2900,4345,3356,1356.0,2007.0,2989.0
ClassB,BasketballDrive,0,26,64,41.7,44.6,39.1,85.1,97.2,7,5,2,0,68,413,51,69,80.8,0.187,6,44,0,2303,2354,2767,2422,1081.0,1344.0,1686.0
ClassB,BasketballDrive,32,26,64,9.9,39.4,5.6,14.0,97.6,4,0,1,3,3,764,8,10,12.7,0.225,0,8,0,116,124,888,127,50.0,77.0,838.0
ClassB,BasketballDrive,56,26,64,27.9,26.2,29.7,58.1,51.5,6,0,6,0,378,289,25,26,-0.3,0.182,0,25,0,376,401,690,779,205.0,578.0,485.0
ClassB,BasketballDrive,all,26,64,34.9,40.1,30.8,66.3,86.6,17,5,9,3,447,1464,84,105,54.1,0.188,7,77,1,2797,2881,4345,3328,1338.0,1997.0,3007.0
ClassB,BasketballDrive,0,30,32,43.3,46.4,40.5,84.8,97.3,7,5,2,0,66,420,50,67,80.6,0.185,7,42,0,2297,2347,2767,2413,1121.0,1295.0,1646.0
ClassB,BasketballDrive,32,30,32,9.6,44.4,5.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.201,0,6,0,99,105,888,108,48.0,60.0,840.0
ClassB,BasketballDrive,56,30,32,27.5,25.7,29.4,58.8,51.7,6,0,6,0,379,284,27,29,0.0,0.184,0,27,0,379,406,690,785,203.0,586.0,487.0
ClassB,BasketballDrive,all,30,32,35.9,41.5,31.6,65.8,86.5,17,5,9,3,446,1484,83,104,53.7,0.186,8,75,1,2778,2861,4345,3307,1375.0,1939.0,2970.0
ClassB,BasketballDrive,0,30,64,42.0,45.0,39.3,84.6,97.1,7,5,2,0,71,426,51,67,80.2,0.187,8,43,0,2290,2341,2767,2412,1087.0,1328.0,1680.0
ClassB,BasketballDrive,32,30,64,7.8,36.1,4.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.209,0,6,0,99,105,888,108,39.0,69.0,849.0
ClassB,BasketballDrive,56,30,64,29.4,27.6,31.3,57.8,51.2,6,0,6,0,380,291,24,27,-0.7,0.180,0,24,0,375,399,690,779,216.0,567.0,474.0
ClassB,BasketballDrive,all,30,64,35.2,40.6,31.0,65.6,86.2,17,5,9,3,455,1495,81,102,53.3,0.187,9,73,1,2769,2850,4345,3305,1345.0,1967.0,3000.0
ClassB,BasketballDrive,0,34,32,43.4,46.7,40.5,84.5,97.5,7,5,2,0,61,428,52,68,80.4,0.182,6,44,0,2287,2339,2767,2400,1121.0,1282.0,1646.0
ClassB,BasketballDrive,32,34,32,10.1,46.7,5.6,11.8,98.1,4,0,1,3,2,783,6,7,10.9,0.216,0,6,0,99,105,888,107,50.0,57.0,838.0
ClassB,BasketballDrive,56,34,32,30.5,29.5,31.4,56.5,53.4,6,0,6,0,341,300,22,25,3.9,0.183,0,22,0,368,390,690,731,217.0,518.0,473.0
ClassB,BasketballDrive,all,34,32,36.7,42.8,32.0,65.3,87.6,17,5,9,3,403,1509,80,100,54.2,0.183,6,72,0,2756,2836,4345,3239,1390.0,1856.0,2955.0
ClassB,BasketballDrive,0,34,64,43.5,46.9,40.5,84.3,97.6,7,5,2,0,58,434,48,66,80.5,0.183,4,44,0,2285,2333,2767,2391,1122.0,1272.0,1645.0
ClassB,BasketballDrive,32,34,64,7.8,35.1,4.4,12.2,97.3,4,0,1,3,3,780,5,5,11.3,0.214,0,5,0,103,108,888,111,39.0,72.0,849.0
