class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,0,0,0,42.0,44.9,39.4,85.3,97.4,7,5,2,0,62,407,51,66,81.2,0.187,7,43,0,2309,2360,2767,2422,1089.0,1336.0,1678.0
ClassB,BasketballDrive,32,0,0,12.1,44.0,7.0,15.4,97.2,4,0,1,3,4,751,6,8,14.3,0.214,0,6,0,131,137,888,141,62.0,79.0,826.0
ClassB,BasketballDrive,56,0,0,28.1,26.3,30.0,60.7,53.4,6,0,6,0,365,271,26,29,4.1,0.179,0,26,0,393,419,690,784,207.0,581.0,483.0
ClassB,BasketballDrive,all,0,0,35.3,40.5,31.3,67.1,87.1,17,5,9,3,431,1428,83,103,55.3,0.187,7,75,0,2834,2917,4345,3348,1358.0,1997.0,2987.0
ClassB,Cactus,58,0,0,28.2,34.1,24.0,60.2,85.5,1,0,1,0,51,199,7,11,48.6,0.118,0,7,0,294,301,500,352,120.0,232.0,380.0
ClassB,Cactus,all,0,0,28.2,34.1,24.0,60.2,85.5,1,0,1,0,51,199,7,11,48.6,0.118,0,7,0,294,301,500,352,120.0,232.0,380.0
ClassB,Kimono,0,0,0,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.143,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,0,0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,0,0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.143,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,ParkScene,0,0,0,62.7,70.3,56.0,78.4,99.8,3,2,1,0,1,122,9,13,76.7,0.155,1,8,0,435,444,566,445,317.0,134.0,249.0
ClassB,ParkScene,1,0,0,91.3,95.9,87.2,89.1,97.9,3,3,0,0,6,35,1,3,86.9,0.196,0,1,0,284,285,320,291,279.0,12.0,41.0
ClassB,ParkScene,13,0,0,10.3,50.0,5.7,10.2,94.0,4,0,1,3,4,552,5,10,8.8,0.275,0,5,0,58,63,615,67,35.0,35.0,580.0
ClassB,ParkScene,all,0,0,54.8,77.7,42.0,52.8,98.6,10,5,2,3,11,709,15,26,51.0,0.179,1,14,0,777,792,1501,803,631.0,181.0,870.0
ClassC,BasketballDrill,0,0,0,35.3,39.7,31.7,78.4,98.4,6,3,3,0,33,545,36,57,75.7,0.209,1,35,0,1946,1982,2527,2015,802.0,1216.0,1725.0
ClassC,BasketballDrill,32,0,0,2.9,5.9,1.9,20.4,63.6,2,0,1,1,117,794,20,21,6.7,0.158,0,20,0,184,204,998,321,19.0,302.0,979.0
ClassC,BasketballDrill,56,0,0,0.4,50.0,0.2,0.0,0.0,3,0,0,3,3,1500,0,0,-0.2,nan,0,0,0,0,0,1500,3,3.0,3.0,1497.0
ClassC,BasketballDrill,all,0,0,22.4,35.1,16.4,43.5,93.5,11,3,4,4,153,2839,56,78,39.3,0.204,1,55,0,2130,2186,5025,2339,824.0,1521.0,4201.0
ClassC,RaceHorsesC,0,0,0,77.4,89.2,68.3,75.8,99.1,7,3,3,1,5,184,5,10,74.5,0.139,0,5,0,571,576,760,581,519.0,63.0,241.0
ClassC,RaceHorsesC,17,0,0,56.4,68.3,47.6,64.7,94.0,6,1,5,0,36,306,13,23,59.0,0.152,1,12,0,547,560,866,596,412.0,191.0,454.0
ClassC,RaceHorsesC,all,0,0,66.2,78.2,57.2,70.1,96.4,13,4,8,1,42,486,18,34,66.4,0.147,1,17,0,1122,1140,1626,1182,930.0,260.0,696.0
ClassD,BasketballPass,0,0,0,33.8,37.7,30.5,77.9,96.7,8,4,3,1,58,484,52,73,72.9,0.185,11,41,0,1655,1707,2191,1765,669.0,1105.0,1522.0
ClassD,BasketballPass,32,0,0,12.4,18.6,9.2,49.2,99.0,4,0,1,3,2,203,13,15,45.5,0.215,0,13,0,184,197,400,199,37.0,162.0,363.0
ClassD,BasketballPass,56,0,0,50.3,94.9,34.3,34.3,94.9,6,0,3,3,2,71,0,2,32.4,0.190,0,0,0,37,37,108,39,37.0,2.0,71.0
ClassD,BasketballPass,all,0,0,31.6,37.0,27.5,71.8,96.9,18,4,7,7,62,762,66,91,67.0,0.188,11,55,0,1871,1937,2699,1999,743.0,1265.0,1956.0
ClassD,BlowingBubbles,0,0,0,69.8,66.9,73.0,94.1,86.3,3,2,0,1,154,61,2,5,79.0,0.100,0,2,0,969,971,1032,1125,753.0,373.0,279.0
ClassD,BlowingBubbles,41,0,0,10.3,48.1,5.8,12.0,100.0,1,0,0,1,0,198,3,4,10.7,0.195,0,3,0,24,27,225,27,13.0,14.0,212.0
ClassD,BlowingBubbles,77,0,0,95.8,92.0,100.0,100.0,92.0,1,1,0,0,33,0,0,0,91.3,0.137,0,0,0,378,378,378,411,378.0,33.0,0.0
