class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassD,BasketballPass,0,18,16,35.4,39.5,31.9,78.0,97.0,8,2,5,1,52,481,52,68,73.3,0.182,11,40,0,1658,1710,2191,1762,699.0,1072.0,1492.0
ClassD,BasketballPass,0,22,16,36.8,41.2,33.1,78.0,97.7,8,3,4,1,41,481,51,69,73.8,0.180,9,41,0,1659,1710,2191,1751,725.0,1035.0,1466.0
ClassD,BasketballPass,0,26,16,36.3,40.8,32.5,77.5,97.8,8,1,6,1,39,492,49,64,73.5,0.179,8,41,0,1650,1699,2191,1738,713.0,1034.0,1478.0
ClassD,BasketballPass,0,30,16,37.0,42.2,32.8,75.3,97.5,8,1,6,1,43,542,46,65,71.2,0.175,8,38,0,1603,1649,2191,1692,718.0,983.0,1473.0
ClassD,BasketballPass,0,34,16,36.8,43.0,32.0,72.5,97.9,8,1,6,1,34,602,42,55,69.1,0.177,5,38,1,1547,1589,2191,1623,702.0,930.0,1489.0
ClassD,BasketballPass,0,38,16,32.9,40.5,27.6,66.1,97.8,8,1,6,1,33,743,46,57,62.5,0.192,5,41,0,1402,1448,2191,1481,604.0,886.0,1587.0
ClassD,BasketballPass,0,42,16,34.0,45.5,27.0,57.2,97.3,8,1,6,1,35,937,39,57,53.9,0.211,3,36,0,1215,1254,2191,1289,591.0,707.0,1600.0
ClassD,BasketballPass,0,46,16,27.6,51.2,18.8,33.6,92.2,8,0,5,3,62,1455,25,41,29.6,0.231,0,25,0,711,736,2191,798,413.0,394.0,1778.0
ClassD,BlowingBubbles,0,18,16,81.5,78.6,84.6,95.5,88.8,3,2,0,1,124,46,1,2,83.4,0.100,0,1,0,985,986,1032,1110,873.0,238.0,159.0
ClassD,BlowingBubbles,0,22,16,92.9,90.4,95.3,95.3,90.4,3,2,0,1,104,49,0,3,85.2,0.100,0,0,0,983,983,1032,1087,984.0,104.0,48.0
ClassD,BlowingBubbles,0,26,16,93.7,92.0,95.3,95.3,92.0,3,2,0,1,85,49,0,3,87.0,0.099,0,0,0,983,983,1032,1068,984.0,85.0,48.0
ClassD,BlowingBubbles,0,30,16,95.6,95.4,95.8,95.7,95.4,3,2,0,1,48,44,0,2,91.1,0.099,0,0,0,988,988,1032,1036,989.0,48.0,43.0
ClassD,BlowingBubbles,0,34,16,93.0,94.1,91.8,94.3,96.8,3,2,0,1,32,59,1,4,91.1,0.101,0,1,0,972,973,1032,1005,947.0,59.0,85.0
ClassD,BlowingBubbles,0,38,16,90.7,91.3,89.9,94.9,96.5,3,2,0,1,36,53,2,2,91.2,0.103,0,2,0,977,979,1032,1015,928.0,88.0,104.0
ClassD,BlowingBubbles,0,42,16,65.5,65.8,65.2,91.5,92.4,3,2,0,1,78,88,5,6,83.4,0.114,0,5,0,939,944,1032,1022,673.0,350.0,359.0
ClassD,BlowingBubbles,0,46,16,46.2,77.8,32.8,41.8,99.1,3,0,2,1,4,601,11,13,40.3,0.136,0,11,0,420,431,1032,435,339.0,97.0,693.0
