conf,iou,img-size,mAP
0.1,0.1,640,0.250985925
0.1,0.15,640,0.274076984
0.1,0.2,640,0.292054903
0.1,0.25,640,0.303276085
0.1,0.3,640,0.308779517
0.1,0.35,640,0.31223634
0.1,0.4,640,0.313850497
0.1,0.45,640,0.315280026
0.1,0.5,640,0.316289907
0.1,0.55,640,0.316473608
0.1,0.6,640,0.317043576
0.1,0.65,640,0.31761877
0.1,0.7,640,0.317847468
0.1,0.75,640,0.317888866
0.1,0.8,640,0.318017984
0.1,0.85,640,0.317296594
0.1,0.9,640,0.315456262
0.15,0.1,640,0.248500289
0.15,0.15,640,0.271934311
0.15,0.2,640,0.290039772
0.15,0.25,640,0.301274612
0.15,0.3,640,0.307347602
0.15,0.35,640,0.310593502
0.15,0.4,640,0.312433007
0.15,0.45,640,0.313655194
0.15,0.5,640,0.314673988
0.15,0.55,640,0.314656569
0.15,0.6,640,0.315040736
0.15,0.65,640,0.31575232
0.15,0.7,640,0.315820155
0.15,0.75,640,0.315924844
0.15,0.8,640,0.315958614
0.15,0.85,640,0.315490786
0.15,0.9,640,0.313922859
0.2,0.1,640,0.24620196
0.2,0.15,640,0.268839587
0.2,0.2,640,0.286626847
0.2,0.25,640,0.297890845
0.2,0.3,640,0.304653
0.2,0.35,640,0.307353285
0.2,0.4,640,0.30964855
0.2,0.45,640,0.310775198
0.2,0.5,640,0.311693039
0.2,0.55,640,0.311909806
0.2,0.6,640,0.312316607
0.2,0.65,640,0.312844205
0.2,0.7,640,0.312848516
0.2,0.75,640,0.313009919
0.2,0.8,640,0.313040911
0.2,0.85,640,0.313024027
0.2,0.9,640,0.311688229
0.25,0.1,640,0.245042948
0.25,0.15,640,0.26733828
0.25,0.2,640,0.284788881
0.25,0.25,640,0.296296112
0.25,0.3,640,0.302949573
0.25,0.35,640,0.305431939
0.25,0.4,640,0.307730551
0.25,0.45,640,0.308638823
0.25,0.5,640,0.309785665
0.25,0.55,640,0.310007688
0.25,0.6,640,0.310314471
0.25,0.65,640,0.310743824
0.25,0.7,640,0.310657257
0.25,0.75,640,0.310951912
0.25,0.8,640,0.310926753
