seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,0.1,0.1,640,19.1,31.5,13.6,41.7,96.4,17,0,7,10,68,2535,83,107,38.2,0.181,13,71,1
ClassB_BasketballDrive_all,0.1,0.15,640,22.4,34.0,16.7,47.0,95.9,17,1,6,10,87,2304,76,107,43.2,0.186,12,65,1
ClassB_BasketballDrive_all,0.1,0.2,640,29.0,41.2,22.4,51.6,95.4,17,4,3,10,108,2103,62,92,47.7,0.189,9,54,1
ClassB_BasketballDrive_all,0.1,0.25,640,28.4,38.5,22.4,55.0,94.8,17,7,0,10,130,1955,60,85,50.6,0.190,10,49,0
ClassB_BasketballDrive_all,0.1,0.3,640,31.3,41.7,25.0,56.4,94.4,17,7,0,10,146,1894,60,80,51.7,0.189,9,50,0
ClassB_BasketballDrive_all,0.1,0.35,640,32.7,43.1,26.3,57.2,94.0,17,7,0,10,160,1859,60,78,52.2,0.191,7,50,0
ClassB_BasketballDrive_all,0.1,0.4,640,31.7,41.5,25.6,57.7,93.6,17,7,0,10,171,1839,62,75,52.3,0.192,9,51,1
ClassB_BasketballDrive_all,0.1,0.45,640,32.1,41.8,26.0,57.9,93.4,17,7,0,10,177,1828,68,80,52.3,0.191,10,55,1
ClassB_BasketballDrive_all,0.1,0.5,640,28.9,37.5,23.4,58.2,93.6,17,7,0,10,173,1816,73,80,52.5,0.192,11,59,1
ClassB_BasketballDrive_all,0.1,0.55,640,28.8,37.4,23.4,58.3,93.4,17,7,0,10,180,1814,74,83,52.4,0.191,10,61,1
ClassB_BasketballDrive_all,0.1,0.6,640,25.4,33.0,20.6,58.1,93.2,17,7,0,10,185,1820,75,83,52.1,0.191,10,62,1
ClassB_BasketballDrive_all,0.1,0.65,640,27.7,35.8,22.5,57.9,92.4,17,7,0,10,207,1830,82,91,51.2,0.191,9,67,0
ClassB_BasketballDrive_all,0.1,0.7,640,26.6,34.4,21.7,57.7,91.8,17,7,0,10,225,1837,100,101,50.2,0.191,11,81,0
ClassB_BasketballDrive_all,0.1,0.75,640,27.3,35.4,22.2,57.3,91.6,17,7,0,10,227,1854,117,107,49.4,0.191,14,95,0
ClassB_BasketballDrive_all,0.1,0.8,640,25.3,32.3,20.7,57.3,89.4,17,7,0,10,296,1857,134,112,47.4,0.192,16,106,0
ClassB_BasketballDrive_all,0.1,0.85,640,20.5,25.5,17.1,56.8,84.8,17,7,0,10,444,1876,153,118,43.1,0.192,14,131,0
ClassB_BasketballDrive_all,0.1,0.9,640,11.9,14.1,10.2,56.0,77.5,17,7,0,10,706,1910,216,142,34.8,0.193,13,194,0
ClassB_BasketballDrive_all,0.15,0.1,640,19.2,32.4,13.6,40.8,97.8,17,0,7,10,40,2571,81,106,38.0,0.180,12,70,1
ClassB_BasketballDrive_all,0.15,0.15,640,22.6,35.0,16.7,46.4,97.3,17,1,6,10,56,2331,73,103,43.4,0.184,11,63,1
ClassB_BasketballDrive_all,0.15,0.2,640,28.7,41.4,21.9,51.2,97.0,17,4,3,10,68,2121,60,83,48.2,0.188,9,52,1
ClassB_BasketballDrive_all,0.15,0.25,640,28.5,39.5,22.3,54.3,96.7,17,6,1,10,81,1985,59,81,51.1,0.189,10,48,0
ClassB_BasketballDrive_all,0.15,0.3,640,32.3,43.7,25.5,56.0,96.1,17,7,0,10,98,1910,58,73,52.5,0.190,9,48,0
ClassB_BasketballDrive_all,0.15,0.35,640,33.1,44.3,26.3,56.7,95.7,17,7,0,10,110,1880,59,73,52.8,0.190,7,49,0
ClassB_BasketballDrive_all,0.15,0.4,640,32.1,42.6,25.7,57.3,95.4,17,7,0,10,119,1856,59,69,53.2,0.193,9,48,1
ClassB_BasketballDrive_all,0.15,0.45,640,32.9,43.5,26.4,57.5,95.0,17,7,0,10,131,1847,64,73,53.0,0.192,10,52,1
ClassB_BasketballDrive_all,0.15,0.5,640,29.1,38.4,23.4,57.7,95.0,17,7,0,10,131,1839,70,74,53.0,0.192,14,53,1
ClassB_BasketballDrive_all,0.15,0.55,640,29.1,38.4,23.3,57.6,95.0,17,7,0,10,131,1843,72,75,52.9,0.192,14,55,1
ClassB_BasketballDrive_all,0.15,0.6,640,25.7,34.0,20.6,57.2,94.8,17,7,0,10,136,1858,76,81,52.4,0.191,12,61,1
ClassB_BasketballDrive_all,0.15,0.65,640,28.0,37.0,22.5,57.3,94.6,17,7,0,10,141,1854,75,81,52.4,0.191,10,61,0
ClassB_BasketballDrive_all,0.15,0.7,640,27.6,36.6,22.2,56.9,94.1,17,7,0,10,154,1871,86,88,51.4,0.190,12,67,0
ClassB_BasketballDrive_all,0.15,0.75,640,27.4,36.3,22.0,56.7,93.7,17,7,0,10,165,1882,93,97,50.7,0.189,12,75,0
ClassB_BasketballDrive_all,0.15,0.8,640,28.8,38.2,23.1,56.2,93.1,17,7,0,10,182,1905,111,110,49.4,0.188,12,91,1
ClassB_BasketballDrive_all,0.15,0.85,640,23.2,30.2,18.8,56.5,90.8,17,6,1,10,250,1892,122,113,47.9,0.191,8,105,0
ClassB_BasketballDrive_all,0.15,0.9,640,15.1,19.3,12.3,55.2,86.8,17,5,2,10,366,1947,199,147,42.2,0.192,15,171,1
ClassB_BasketballDrive_all,0.2,0.1,640,19.0,32.6,13.4,40.3,98.4,17,0,7,10,28,2595,78,102,37.8,0.179,12,67,1
ClassB_BasketballDrive_all,0.2,0.15,640,22.6,35.3,16.5,45.7,97.8,17,1,6,10,45,2361,71,100,43.0,0.183,12,60,1
ClassB_BasketballDrive_all,0.2,0.2,640,28.7,42.1,21.8,50.3,97.6,17,4,3,10,54,2161,60,81,47.6,0.185,9,52,1
ClassB_BasketballDrive_all,0.2,0.25,640,28.3,39.9,21.9,53.3,97.2,17,4,3,10,67,2030,57,81,50.4,0.187,10,46,0
ClassB_BasketballDrive_all,0.2,0.3,640,32.1,44.1,25.2,55.3,96.9,17,6,1,10,78,1941,56,71,52.2,0.188,9,46,0
ClassB_BasketballDrive_all,0.2,0.35,640,32.0,43.4,25.2,55.9,96.5,17,6,1,10,88,1915,57,70,52.6,0.189,8,46,0
ClassB_BasketballDrive_all,0.2,0.4,640,33.0,44.4,26.2,56.7,96.3,17,6,1,10,94,1881,54,64,53.3,0.191,7,44,0
ClassB_BasketballDrive_all,0.2,0.45,640,32.9,44.1,26.2,57.0,96.1,17,6,1,10,101,1869,56,65,53.4,0.191,7,46,0
ClassB_BasketballDrive_all,0.2,0.5,640,30.0,40.1,24.0,57.1,96.0,17,6,1,10,103,1862,58,66,53.4,0.190,8,47,0
ClassB_BasketballDrive_all,0.2,0.55,640,29.0,38.8,23.2,57.2,95.9,17,6,1,10,107,1861,62,69,53.3,0.191,10,50,1
ClassB_BasketballDrive_all,0.2,0.6,640,26.7,35.7,21.3,57.0,95.8,17,7,0,10,109,1869,64,72,53.0,0.190,9,53,1
ClassB_BasketballDrive_all,0.2,0.65,640,29.0,38.8,23.2,57.0,95.7,17,7,0,10,111,1869,66,75,52.9,0.189,8,55,0
ClassB_BasketballDrive_all,0.2,0.7,640,29.0,38.9,23.1,56.8,95.7,17,7,0,10,110,1879,71,75,52.6,0.189,9,57,0
ClassB_BasketballDrive_all,0.2,0.75,640,26.7,35.8,21.2,56.5,95.6,17,6,1,10,114,1891,85,86,51.9,0.188,11,68,0
ClassB_BasketballDrive_all,0.2,0.8,640,29.1,39.1,23.1,56.0,95.1,17,6,1,10,125,1910,97,96,50.9,0.186,12,82,1
ClassB_BasketballDrive_all,0.2,0.85,640,25.2,33.8,20.1,55.8,94.2,17,6,1,10,149,1920,108,101,49.9,0.188,11,95,0
ClassB_BasketballDrive_all,0.2,0.9,640,15.6,20.7,12.5,54.9,91.1,17,5,2,10,232,1960,164,129,45.8,0.189,10,148,0
