seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_0,0.1,0.1,640,25.4,31.7,21.1,65.0,97.8,7,0,7,0,41,968,80,103,60.6,0.181,13,68,1
ClassB_BasketballDrive_0,0.1,0.15,640,29.6,34.3,25.9,73.4,97.1,7,1,6,0,60,737,73,103,68.6,0.186,12,62,1
ClassB_BasketballDrive_0,0.1,0.2,640,37.9,41.6,34.8,80.6,96.5,7,4,3,0,82,537,59,88,75.5,0.188,9,51,1
ClassB_BasketballDrive_0,0.1,0.25,640,36.8,38.8,34.9,85.9,95.8,7,7,0,0,104,389,57,81,80.1,0.189,10,46,0
ClassB_BasketballDrive_0,0.1,0.3,640,40.4,42.0,38.9,88.1,95.3,7,7,0,0,120,328,57,76,81.7,0.189,9,47,0
ClassB_BasketballDrive_0,0.1,0.35,640,42.2,43.4,41.0,89.4,94.9,7,7,0,0,134,293,57,74,82.5,0.190,7,47,0
ClassB_BasketballDrive_0,0.1,0.4,640,40.9,41.8,39.9,90.1,94.5,7,7,0,0,145,273,59,71,82.8,0.192,9,48,1
ClassB_BasketballDrive_0,0.1,0.45,640,41.3,42.1,40.5,90.5,94.3,7,7,0,0,151,262,65,76,82.7,0.191,10,52,1
ClassB_BasketballDrive_0,0.1,0.5,640,37.1,37.8,36.4,91.0,94.5,7,7,0,0,147,250,70,76,83.1,0.192,11,56,1
ClassB_BasketballDrive_0,0.1,0.55,640,37.0,37.6,36.4,91.0,94.2,7,7,0,0,154,248,71,79,82.9,0.191,10,58,1
ClassB_BasketballDrive_0,0.1,0.6,640,32.6,33.2,32.1,90.9,94.1,7,7,0,0,159,252,72,79,82.5,0.191,10,59,1
ClassB_BasketballDrive_0,0.1,0.65,640,35.5,36.0,35.0,90.5,93.3,7,7,0,0,181,262,79,87,81.1,0.191,9,64,0
ClassB_BasketballDrive_0,0.1,0.7,640,34.2,34.6,33.7,90.2,92.6,7,7,0,0,199,271,97,97,79.5,0.191,11,78,0
ClassB_BasketballDrive_0,0.1,0.75,640,35.1,35.6,34.5,89.6,92.5,7,7,0,0,201,288,114,103,78.2,0.191,14,92,0
ClassB_BasketballDrive_0,0.1,0.8,640,32.4,32.5,32.3,89.5,90.2,7,7,0,0,269,290,131,108,75.1,0.192,16,103,0
ClassB_BasketballDrive_0,0.1,0.85,640,26.1,25.6,26.6,88.9,85.5,7,7,0,0,417,308,150,114,68.4,0.192,14,128,0
ClassB_BasketballDrive_0,0.1,0.9,640,15.0,14.2,16.0,87.7,78.0,7,7,0,0,684,341,212,138,55.3,0.193,13,190,0
ClassB_BasketballDrive_0,0.15,0.1,640,25.5,32.2,21.0,63.9,98.0,7,0,7,0,36,999,80,104,59.7,0.180,12,69,1
ClassB_BasketballDrive_0,0.15,0.15,640,29.7,34.8,25.9,72.6,97.5,7,1,6,0,52,759,72,101,68.1,0.184,11,62,1
ClassB_BasketballDrive_0,0.15,0.2,640,37.4,41.3,34.1,80.2,97.2,7,4,3,0,64,549,59,81,75.7,0.188,9,51,1
ClassB_BasketballDrive_0,0.15,0.25,640,36.9,39.4,34.7,85.1,96.8,7,6,1,0,77,413,58,79,80.2,0.189,10,47,0
ClassB_BasketballDrive_0,0.15,0.3,640,41.7,43.6,39.8,87.8,96.3,7,7,0,0,94,338,57,71,82.3,0.190,9,47,0
ClassB_BasketballDrive_0,0.15,0.35,640,42.6,44.2,41.1,88.9,95.9,7,7,0,0,106,308,58,71,82.9,0.190,7,48,0
ClassB_BasketballDrive_0,0.15,0.4,640,41.3,42.6,40.0,89.7,95.6,7,7,0,0,115,284,58,67,83.5,0.193,9,47,1
ClassB_BasketballDrive_0,0.15,0.45,640,42.3,43.4,41.1,90.1,95.2,7,7,0,0,127,275,63,71,83.2,0.192,10,51,1
ClassB_BasketballDrive_0,0.15,0.5,640,37.3,38.3,36.4,90.4,95.2,7,7,0,0,127,267,69,72,83.3,0.192,14,52,1
ClassB_BasketballDrive_0,0.15,0.55,640,37.3,38.3,36.4,90.2,95.2,7,7,0,0,127,271,71,73,83.1,0.192,14,54,1
ClassB_BasketballDrive_0,0.15,0.6,640,32.9,33.9,32.0,89.7,94.9,7,7,0,0,132,286,75,79,82.2,0.190,12,60,1
ClassB_BasketballDrive_0,0.15,0.65,640,35.9,36.9,35.0,89.8,94.8,7,7,0,0,137,282,74,79,82.2,0.191,10,60,0
ClassB_BasketballDrive_0,0.15,0.7,640,35.5,36.5,34.6,89.2,94.3,7,7,0,0,150,299,85,86,80.7,0.190,12,66,0
ClassB_BasketballDrive_0,0.15,0.75,640,35.2,36.2,34.3,88.8,93.9,7,7,0,0,161,310,92,95,79.7,0.189,12,74,0
ClassB_BasketballDrive_0,0.15,0.8,640,37.0,38.0,36.0,88.0,93.2,7,7,0,0,178,333,110,108,77.6,0.188,12,90,1
ClassB_BasketballDrive_0,0.15,0.85,640,29.7,30.1,29.3,88.4,90.9,7,6,1,0,246,320,121,111,75.2,0.191,8,104,0
ClassB_BasketballDrive_0,0.15,0.9,640,19.1,19.1,19.1,86.4,86.8,7,5,2,0,363,375,198,145,66.2,0.191,15,170,1
ClassB_BasketballDrive_0,0.2,0.1,640,25.4,32.4,20.9,63.2,98.4,7,0,7,0,28,1018,78,102,59.4,0.179,12,67,1
ClassB_BasketballDrive_0,0.2,0.15,640,29.8,35.2,25.8,71.7,97.8,7,1,6,0,45,784,71,100,67.5,0.183,12,60,1
ClassB_BasketballDrive_0,0.2,0.2,640,37.6,41.9,34.0,79.1,97.6,7,4,3,0,53,579,60,80,75.0,0.186,9,52,1
ClassB_BasketballDrive_0,0.2,0.25,640,37.0,39.9,34.4,83.8,97.2,7,4,3,0,66,449,57,80,79.3,0.188,10,46,0
ClassB_BasketballDrive_0,0.2,0.3,640,41.7,44.1,39.6,86.9,96.9,7,6,1,0,77,362,56,70,82.1,0.188,9,46,0
ClassB_BasketballDrive_0,0.2,0.35,640,41.4,43.4,39.6,87.9,96.5,7,6,1,0,87,336,57,69,82.7,0.189,8,46,0
