conf,iou,img-size,mAP
0.1,0.1,640,0.855867567
0.1,0.15,640,0.85638058
0.1,0.2,640,0.857565151
0.1,0.25,640,0.858453367
0.1,0.3,640,0.860702282
0.1,0.35,640,0.861033942
0.1,0.4,640,0.862277428
0.1,0.45,640,0.862970511
0.1,0.5,640,0.864239375
0.1,0.55,640,0.865418182
0.1,0.6,640,0.866369125
0.1,0.65,640,0.86660322
0.1,0.7,640,0.866444112
0.1,0.75,640,0.865894212
0.1,0.8,640,0.86244684
0.1,0.85,640,0.85043133
0.1,0.9,640,0.815505476
0.15,0.1,640,0.841846828
0.15,0.15,640,0.842361034
0.15,0.2,640,0.842603244
0.15,0.25,640,0.84288428
0.15,0.3,640,0.844637154
0.15,0.35,640,0.844905315
0.15,0.4,640,0.845787248
0.15,0.45,640,0.845787559
0.15,0.5,640,0.846625128
0.15,0.55,640,0.847565143
0.15,0.6,640,0.84867631
0.15,0.65,640,0.848734347
0.15,0.7,640,0.848481719
0.15,0.75,640,0.848202339
0.15,0.8,640,0.845014715
0.15,0.85,640,0.835307524
0.15,0.9,640,0.803473572
0.2,0.1,640,0.82679008
0.2,0.15,640,0.827305073
0.2,0.2,640,0.827305855
0.2,0.25,640,0.827829099
0.2,0.3,640,0.828586566
0.2,0.35,640,0.828854655
0.2,0.4,640,0.828844137
0.2,0.45,640,0.828844448
0.2,0.5,640,0.828833694
0.2,0.55,640,0.828824807
0.2,0.6,640,0.829775444
0.2,0.65,640,0.829676261
0.2,0.7,640,0.82956093
0.2,0.75,640,0.829861472
0.2,0.8,640,0.827362715
0.2,0.85,640,0.818509022
0.2,0.9,640,0.78938004
0.25,0.1,640,0.807397026
0.25,0.15,640,0.807913205
0.25,0.2,640,0.807913987
0.25,0.25,640,0.808437104
0.25,0.3,640,0.808946484
0.25,0.35,640,0.809463705
0.25,0.4,640,0.809461373
0.25,0.45,640,0.809461684
0.25,0.5,640,0.809459018
0.25,0.55,640,0.809453015
0.25,0.6,640,0.809439112
0.25,0.65,640,0.809423273
0.25,0.7,640,0.809443508
0.25,0.75,640,0.809536934
0.25,0.8,640,0.807752954
0.25,0.85,640,0.798860084
0.25,0.9,640,0.772252209
0.3,0.1,640,0.782157186
0.3,0.15,640,0.782675536
0.3,0.2,640,0.782676662
0.3,0.25,640,0.783199585
0.3,0.3,640,0.783456035
0.3,0.35,640,0.783973037
0.3,0.4,640,0.783973037
0.3,0.45,640,0.783973037
0.3,0.5,640,0.783973037
0.3,0.55,640,0.783972685
0.3,0.6,640,0.783962774
0.3,0.65,640,0.7839555
0.3,0.7,640,0.783861245
0.3,0.75,640,0.784035449
0.3,0.8,640,0.78307492
0.3,0.85,640,0.776174446
0.3,0.9,640,0.752481226
0.35,0.1,640,0.762377157
0.35,0.15,640,0.762639387
0.35,0.2,640,0.762897932
0.35,0.25,640,0.763420763
0.35,0.3,640,0.763420763
0.35,0.35,640,0.763937658
0.35,0.4,640,0.763937658
0.35,0.45,640,0.763937658
0.35,0.5,640,0.763937658
0.35,0.55,640,0.763937658
0.35,0.6,640,0.763929815
0.35,0.65,640,0.763924605
0.35,0.7,640,0.763924605
0.35,0.75,640,0.763899544
0.35,0.8,640,0.763570908
0.35,0.85,640,0.758330917
0.35,0.9,640,0.736610326
0.4,0.1,640,0.737431222
0.4,0.15,640,0.737693321
0.4,0.2,640,0.737951736
0.4,0.25,640,0.738474307
0.4,0.3,640,0.738474307
0.4,0.35,640,0.738733188
0.4,0.4,640,0.738733188
0.4,0.45,640,0.738733188
0.4,0.5,640,0.738733188
0.4,0.55,640,0.738733188
0.4,0.6,640,0.738732437
0.4,0.65,640,0.738732437
0.4,0.7,640,0.738732437
0.4,0.75,640,0.738718993
0.4,0.8,640,0.738613005
0.4,0.85,640,0.735166056
0.4,0.9,640,0.715667099
0.45,0.1,640,0.700538828
0.45,0.15,640,0.700800752
0.45,0.2,640,0.700800752
0.45,0.25,640,0.701322963
0.45,0.3,640,0.701322963
0.45,0.35,640,0.701322963
0.45,0.4,640,0.701322963
0.45,0.45,640,0.701322963
0.45,0.5,640,0.701322963
0.45,0.55,640,0.701322963
0.45,0.6,640,0.701322963
0.45,0.65,640,0.701322963
0.45,0.7,640,0.701322963
0.45,0.75,640,0.701321687
0.45,0.8,640,0.701251993
0.45,0.85,640,0.699420604
0.45,0.9,640,0.682426753
0.5,0.1,640,0.653825648
0.5,0.15,640,0.654087418
0.5,0.2,640,0.654087418
0.5,0.25,640,0.654609323
0.5,0.3,640,0.654609323
0.5,0.35,640,0.654609323
0.5,0.4,640,0.654609323
0.5,0.45,640,0.654609323
0.5,0.5,640,0.654609323
0.5,0.55,640,0.654609323
0.5,0.6,640,0.654609323
0.5,0.65,640,0.654609323
0.5,0.7,640,0.654609323
0.5,0.75,640,0.654609323
0.5,0.8,640,0.654579586
0.5,0.85,640,0.653231569
0.5,0.9,640,0.638717034
0.55,0.1,640,0.617374392
0.55,0.15,640,0.617636035
0.55,0.2,640,0.617636035
0.55,0.25,640,0.618157545
0.55,0.3,640,0.618157545
0.55,0.35,640,0.618157545
0.55,0.4,640,0.618157545
0.55,0.45,640,0.618157545
0.55,0.5,640,0.618157545
0.55,0.55,640,0.618157545
0.55,0.6,640,0.618157545
0.55,0.65,640,0.618157545
0.55,0.7,640,0.618157545
0.55,0.75,640,0.618157545
0.55,0.8,640,0.618157545
0.55,0.85,640,0.617154342
0.55,0.9,640,0.605368744
0.6,0.1,640,0.580331122
0.6,0.15,640,0.580592666
0.6,0.2,640,0.580592666
0.6,0.25,640,0.580592666
0.6,0.3,640,0.580592666
0.6,0.35,640,0.580592666
0.6,0.4,640,0.580592666
0.6,0.45,640,0.580592666
0.6,0.5,640,0.580592666
0.6,0.55,640,0.580592666
0.6,0.6,640,0.580592666
0.6,0.65,640,0.580592666
0.6,0.7,640,0.580592666
0.6,0.75,640,0.580592666
0.6,0.8,640,0.580592666
0.6,0.85,640,0.580016823
0.6,0.9,640,0.571751432
0.65,0.1,640,0.539819535
0.65,0.15,640,0.539819535
0.65,0.2,640,0.539819535
0.65,0.25,640,0.539819535
0.65,0.3,640,0.539819535
0.65,0.35,640,0.539819535
0.65,0.4,640,0.539819535
0.65,0.45,640,0.539819535
0.65,0.5,640,0.539819535
0.65,0.55,640,0.539819535
0.65,0.6,640,0.539819535
0.65,0.65,640,0.539819535
0.65,0.7,640,0.539819535
0.65,0.75,640,0.539819535
0.65,0.8,640,0.539819535
0.65,0.85,640,0.539539622
0.65,0.9,640,0.533720782
0.7,0.1,640,0.506866118
0.7,0.15,640,0.506866118
0.7,0.2,640,0.506866118
0.7,0.25,640,0.506866118
0.7,0.3,640,0.506866118
0.7,0.35,640,0.506866118
0.7,0.4,640,0.506866118
0.7,0.45,640,0.506866118
0.7,0.5,640,0.506866118
0.7,0.55,640,0.506866118
0.7,0.6,640,0.506866118
0.7,0.65,640,0.506866118
0.7,0.7,640,0.506866118
0.7,0.75,640,0.506866118
0.7,0.8,640,0.506866118
0.7,0.85,640,0.506734268
0.7,0.9,640,0.502940161
0.75,0.1,640,0.468155293
0.75,0.15,640,0.468155293
0.75,0.2,640,0.468155293
0.75,0.25,640,0.468155293
0.75,0.3,640,0.468155293
0.75,0.35,640,0.468155293
0.75,0.4,640,0.468155293
0.75,0.45,640,0.468155293
0.75,0.5,640,0.468155293
0.75,0.55,640,0.468155293
0.75,0.6,640,0.468155293
0.75,0.65,640,0.468155293
0.75,0.7,640,0.468155293
0.75,0.75,640,0.468155293
0.75,0.8,640,0.468155293
0.75,0.85,640,0.468155293
0.75,0.9,640,0.466343925
0.8,0.1,640,0.400885733
0.8,0.15,640,0.400885733
0.8,0.2,640,0.400885733
0.8,0.25,640,0.400885733
0.8,0.3,640,0.400885733
0.8,0.35,640,0.400885733
0.8,0.4,640,0.400885733
0.8,0.45,640,0.400885733
0.8,0.5,640,0.400885733
0.8,0.55,640,0.400885733
0.8,0.6,640,0.400885733
0.8,0.65,640,0.400885733
0.8,0.7,640,0.400885733
0.8,0.75,640,0.400885733
0.8,0.8,640,0.400885733
0.8,0.85,640,0.400885733
0.8,0.9,640,0.400752531
