seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassC_PartyScene_all,0.1,0.1,640,66.2,60.4,73.2,89.1,73.6,7,5,2,0,683,233,16,24,56.4,0.144,3,14,1
ClassC_PartyScene_all,0.1,0.15,640,66.2,60.4,73.2,89.2,73.6,7,5,2,0,684,231,16,24,56.4,0.144,3,14,1
ClassC_PartyScene_all,0.1,0.2,640,66.0,60.2,73.2,89.2,73.4,7,5,2,0,692,231,15,23,56.1,0.144,2,14,1
ClassC_PartyScene_all,0.1,0.25,640,66.0,60.2,73.2,89.2,73.3,7,5,2,0,694,230,16,23,56.0,0.144,2,15,1
ClassC_PartyScene_all,0.1,0.3,640,66.1,60.2,73.4,89.5,73.4,7,5,2,0,692,224,17,23,56.3,0.145,2,16,1
ClassC_PartyScene_all,0.1,0.35,640,66.0,60.0,73.4,89.7,73.4,7,5,2,0,695,221,15,22,56.4,0.145,1,14,0
ClassC_PartyScene_all,0.1,0.4,640,65.9,59.9,73.3,89.7,73.4,7,5,2,0,694,219,16,22,56.5,0.145,1,15,0
ClassC_PartyScene_all,0.1,0.45,640,65.9,59.8,73.3,89.9,73.4,7,5,2,0,697,215,16,21,56.6,0.145,1,15,0
ClassC_PartyScene_all,0.1,0.5,640,65.9,59.8,73.3,89.8,73.4,7,5,2,0,697,217,17,22,56.4,0.145,1,16,0
ClassC_PartyScene_all,0.1,0.55,640,65.8,59.8,73.2,89.7,73.3,7,5,2,0,698,219,18,22,56.2,0.144,1,16,0
ClassC_PartyScene_all,0.1,0.6,640,65.7,59.7,73.2,89.7,73.2,7,5,2,0,703,220,18,22,55.9,0.144,0,17,0
ClassC_PartyScene_all,0.1,0.65,640,65.6,59.5,73.0,89.7,73.1,7,5,2,0,704,220,17,21,55.9,0.144,0,16,0
ClassC_PartyScene_all,0.1,0.7,640,65.5,59.4,73.0,89.5,72.8,7,5,2,0,715,224,19,23,55.1,0.144,0,17,0
ClassC_PartyScene_all,0.1,0.75,640,65.0,58.9,72.5,89.3,72.6,7,5,2,0,721,228,23,26,54.5,0.144,0,21,0
ClassC_PartyScene_all,0.1,0.8,640,63.3,57.1,71.2,89.5,71.7,7,5,2,0,753,225,32,29,52.7,0.143,1,27,0
ClassC_PartyScene_all,0.1,0.85,640,52.2,46.3,59.8,89.4,69.1,7,6,1,0,853,227,45,29,47.3,0.144,1,40,0
ClassC_PartyScene_all,0.1,0.9,640,36.7,31.3,44.1,89.1,63.3,7,6,1,0,1104,232,80,36,33.7,0.144,4,67,0
ClassC_PartyScene_all,0.15,0.1,640,69.1,65.8,72.7,87.2,78.9,7,4,3,0,497,274,16,21,63.2,0.143,3,14,1
ClassC_PartyScene_all,0.15,0.15,640,69.0,65.7,72.7,87.3,78.9,7,5,2,0,497,272,16,21,63.2,0.143,3,14,1
ClassC_PartyScene_all,0.15,0.2,640,69.0,65.7,72.7,87.3,78.9,7,5,2,0,498,271,16,21,63.2,0.143,3,14,1
ClassC_PartyScene_all,0.15,0.25,640,69.1,65.7,72.7,87.3,78.9,7,4,3,0,498,272,16,21,63.2,0.143,2,15,1
