seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_0,1,1,0.1,39.8,39.8,39.7,92.2,92.6,7,7,0,0,203,216,62,73,82.6,0.193,13,49,1
ClassB_BasketballDrive_0,1,1,0.15,40.6,40.6,40.4,92.1,92.7,7,7,0,0,202,218,63,75,82.5,0.192,13,49,1
ClassB_BasketballDrive_0,1,1,0.2,40.6,40.6,40.4,92.1,92.7,7,7,0,0,202,218,63,75,82.5,0.192,13,49,1
ClassB_BasketballDrive_0,1,1,0.25,40.5,40.6,40.4,92.0,92.8,7,7,0,0,199,221,62,78,82.6,0.192,10,51,1
ClassB_BasketballDrive_0,1,1,0.3,39.7,39.8,39.4,91.9,92.9,7,7,0,0,193,224,67,79,82.5,0.191,10,56,1
ClassB_BasketballDrive_0,1,1,0.35,39.7,39.9,39.4,91.9,93.1,7,7,0,0,190,223,68,78,82.6,0.191,10,57,1
ClassB_BasketballDrive_0,1,1,0.4,39.7,39.9,39.4,91.8,93.2,7,7,0,0,186,227,69,81,82.6,0.190,10,58,1
ClassB_BasketballDrive_0,1,1,0.45,39.7,40.1,39.4,91.5,93.2,7,7,0,0,184,236,70,81,82.3,0.190,9,60,1
ClassB_BasketballDrive_0,1,1,0.5,39.7,40.1,39.2,91.5,93.6,7,7,0,0,173,236,75,84,82.5,0.190,10,65,2
ClassB_BasketballDrive_0,1,1,0.55,39.8,40.4,39.2,90.9,93.7,7,7,0,0,169,251,80,89,81.9,0.190,8,72,1
ClassB_BasketballDrive_0,1,1,0.6,36.4,37.1,35.7,90.3,94.0,7,7,0,0,160,269,89,99,81.3,0.189,6,82,0
ClassB_BasketballDrive_0,1,1,0.65,32.6,33.4,31.8,89.5,94.1,7,7,0,0,156,290,104,116,80.1,0.186,6,97,0
ClassB_BasketballDrive_0,1,1,0.7,29.7,30.9,28.7,87.6,94.5,7,7,0,0,141,342,133,146,77.7,0.184,7,126,0
ClassB_BasketballDrive_0,1,1,0.75,25.9,27.3,24.5,85.2,95.1,7,5,2,0,121,410,167,176,74.8,0.183,5,162,0
ClassB_BasketballDrive_0,1,1,0.8,20.0,22.0,18.3,79.4,95.8,7,4,3,0,97,569,212,224,68.3,0.178,4,208,0
ClassB_BasketballDrive_0,1,1,0.85,12.8,15.0,11.1,71.3,96.3,7,1,6,0,76,793,272,285,58.8,0.173,2,270,0
ClassB_BasketballDrive_0,1,1,0.9,9.5,13.4,7.4,53.4,96.9,7,0,6,1,48,1290,321,326,40.0,0.166,0,320,0
