seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,1,1,0.1,33.3,32.1,34.6,81.9,76.0,17,13,3,1,1123,787,154,178,52.5,0.202,16,135,2
ClassB_BasketballDrive_all,1,1,0.15,33.8,32.6,35.1,81.7,76.1,17,13,3,1,1116,793,155,181,52.5,0.202,16,135,2
ClassB_BasketballDrive_all,1,1,0.2,34.0,32.8,35.1,81.7,76.5,17,13,3,1,1088,795,155,181,53.1,0.202,16,135,2
ClassB_BasketballDrive_all,1,1,0.25,33.9,32.9,35.0,81.4,76.6,17,13,3,1,1080,809,153,184,53.0,0.201,12,139,2
ClassB_BasketballDrive_all,1,1,0.3,33.4,32.5,34.4,81.2,76.8,17,12,4,1,1064,819,158,184,53.0,0.199,11,144,1
ClassB_BasketballDrive_all,1,1,0.35,33.6,32.7,34.4,81.0,77.1,17,12,4,1,1047,827,160,185,53.2,0.199,11,146,1
ClassB_BasketballDrive_all,1,1,0.4,33.8,33.1,34.4,80.7,77.9,17,12,4,1,996,840,163,188,54.0,0.198,11,149,1
ClassB_BasketballDrive_all,1,1,0.45,33.6,33.1,34.0,80.2,78.0,17,12,4,1,981,861,163,187,53.9,0.198,10,150,1
ClassB_BasketballDrive_all,1,1,0.5,33.6,33.3,33.9,79.7,78.4,17,12,4,1,956,883,167,186,53.8,0.197,11,154,2
ClassB_BasketballDrive_all,1,1,0.55,33.9,33.8,33.9,78.6,78.5,17,12,3,2,933,931,173,189,53.1,0.195,9,162,1
ClassB_BasketballDrive_all,1,1,0.6,31.4,31.6,31.2,77.5,78.8,17,12,3,2,904,977,180,197,52.6,0.194,7,172,0
ClassB_BasketballDrive_all,1,1,0.65,27.5,28.1,26.9,75.7,79.2,17,12,3,2,865,1058,184,200,51.5,0.191,6,177,0
ClassB_BasketballDrive_all,1,1,0.7,25.0,26.1,23.9,72.8,79.6,17,12,2,3,812,1181,214,225,49.2,0.187,7,207,0
ClassB_BasketballDrive_all,1,1,0.75,23.8,25.6,22.2,69.6,80.4,17,10,4,3,738,1319,242,249,47.1,0.183,5,237,0
ClassB_BasketballDrive_all,1,1,0.8,18.9,21.3,16.9,64.5,81.5,17,5,8,4,637,1543,288,299,43.2,0.179,4,284,0
ClassB_BasketballDrive_all,1,1,0.85,13.3,16.2,11.2,57.0,82.8,17,1,12,4,515,1868,357,368,36.9,0.174,2,353,0
ClassB_BasketballDrive_all,1,1,0.9,8.9,13.5,6.6,41.7,85.4,17,0,12,5,309,2534,433,447,24.6,0.167,0,432,0
ClassB_BasketballDrive_all,1,2,0.1,34.0,33.9,34.1,78.6,78.2,17,12,3,2,949,931,128,159,53.8,0.199,16,111,2
ClassB_BasketballDrive_all,1,2,0.15,34.5,34.4,34.5,78.4,78.3,17,12,3,2,943,939,130,161,53.7,0.199,16,112,2
ClassB_BasketballDrive_all,1,2,0.2,34.6,34.7,34.5,78.3,78.8,17,12,3,2,916,943,129,161,54.2,0.199,16,111,2
ClassB_BasketballDrive_all,1,2,0.25,34.6,34.7,34.4,78.0,78.8,17,11,4,2,912,958,128,162,54.0,0.198,12,114,2
ClassB_BasketballDrive_all,1,2,0.3,34.1,34.4,33.8,77.6,79.1,17,11,4,2,892,972,130,161,54.1,0.197,10,117,0
ClassB_BasketballDrive_all,1,2,0.35,34.3,34.7,33.9,77.4,79.5,17,12,3,2,870,981,129,159,54.4,0.197,10,118,0
ClassB_BasketballDrive_all,1,2,0.4,34.5,35.2,33.8,77.1,80.3,17,12,3,2,820,997,131,161,55.2,0.195,10,120,0
ClassB_BasketballDrive_all,1,2,0.45,34.3,35.1,33.4,76.5,80.4,17,12,3,2,809,1022,130,159,54.9,0.195,9,120,0
ClassB_BasketballDrive_all,1,2,0.5,34.4,35.4,33.3,76.0,80.9,17,11,4,2,781,1041,130,155,55.1,0.194,10,120,1
ClassB_BasketballDrive_all,1,2,0.55,34.6,36.0,33.3,74.8,81.0,17,11,4,2,761,1094,133,155,54.2,0.193,9,124,1
ClassB_BasketballDrive_all,1,2,0.6,32.1,33.8,30.6,73.6,81.4,17,11,4,2,730,1149,136,157,53.6,0.191,7,128,0
ClassB_BasketballDrive_all,1,2,0.65,28.1,30.1,26.3,71.5,81.9,17,11,4,2,685,1238,145,165,52.4,0.188,6,138,0
ClassB_BasketballDrive_all,1,2,0.7,25.6,28.2,23.4,68.0,82.2,17,9,5,3,639,1392,153,172,49.7,0.183,5,148,0
ClassB_BasketballDrive_all,1,2,0.75,24.5,28.0,21.7,64.2,83.0,17,5,8,4,570,1557,171,186,47.1,0.179,4,167,0
ClassB_BasketballDrive_all,1,2,0.8,19.5,23.8,16.5,57.8,83.6,17,1,12,4,492,1835,212,229,41.6,0.175,3,209,0
ClassB_BasketballDrive_all,1,2,0.85,13.7,18.7,10.8,48.5,84.3,17,0,13,4,392,2237,251,264,33.7,0.170,1,250,0
ClassB_BasketballDrive_all,1,2,0.9,9.0,17.0,6.1,31.2,86.8,17,0,11,6,206,2988,258,267,20.6,0.163,0,258,0
ClassB_BasketballDrive_all,1,3,0.1,34.3,35.1,33.5,75.7,79.5,17,10,5,2,849,1055,116,148,53.5,0.197,15,99,1
ClassB_BasketballDrive_all,1,3,0.15,34.9,35.8,34.0,75.6,79.5,17,10,5,2,844,1062,116,149,53.5,0.197,14,100,1
ClassB_BasketballDrive_all,1,3,0.2,35.0,36.0,34.0,75.5,80.0,17,10,5,2,818,1066,115,148,54.0,0.197,15,98,1
ClassB_BasketballDrive_all,1,3,0.25,35.0,36.1,33.9,75.1,80.0,17,10,5,2,814,1082,114,151,53.7,0.196,11,101,1
ClassB_BasketballDrive_all,1,3,0.3,34.5,35.8,33.3,74.7,80.4,17,10,5,2,793,1100,115,147,53.8,0.195,10,102,0
ClassB_BasketballDrive_all,1,3,0.35,34.7,36.1,33.3,74.5,80.8,17,10,5,2,768,1109,115,144,54.2,0.195,10,104,0
ClassB_BasketballDrive_all,1,3,0.4,34.9,36.6,33.3,74.0,81.6,17,10,5,2,725,1130,115,144,54.7,0.193,10,104,0
ClassB_BasketballDrive_all,1,3,0.45,34.6,36.5,32.8,73.5,81.8,17,10,5,2,710,1150,116,141,54.5,0.193,9,106,0
ClassB_BasketballDrive_all,1,3,0.5,34.7,36.7,32.8,73.1,82.2,17,10,5,2,689,1167,116,141,54.6,0.192,9,107,1
ClassB_BasketballDrive_all,1,3,0.55,34.9,37.4,32.7,71.9,82.3,17,10,5,2,670,1223,115,139,53.8,0.191,7,107,0
ClassB_BasketballDrive_all,1,3,0.6,32.4,35.2,30.0,70.5,82.7,17,10,5,2,639,1283,114,139,53.1,0.189,7,106,0
ClassB_BasketballDrive_all,1,3,0.65,28.3,31.4,25.7,68.0,83.3,17,8,7,2,593,1389,118,139,51.7,0.185,6,111,0
ClassB_BasketballDrive_all,1,3,0.7,25.8,29.5,22.8,64.4,83.6,17,5,9,3,548,1546,126,143,48.9,0.180,5,121,0
ClassB_BasketballDrive_all,1,3,0.75,24.9,29.8,21.3,60.2,84.4,17,1,12,4,483,1730,132,148,46.0,0.177,2,130,0
ClassB_BasketballDrive_all,1,3,0.8,19.8,25.6,16.1,52.8,84.3,17,1,12,4,426,2051,169,182,39.1,0.173,2,167,0
ClassB_BasketballDrive_all,1,3,0.85,14.0,20.8,10.5,42.6,84.7,17,0,12,5,334,2495,196,203,30.4,0.168,1,195,0
ClassB_BasketballDrive_all,1,3,0.9,8.9,19.8,5.7,25.1,87.2,17,0,10,7,160,3256,175,177,17.4,0.161,0,175,0
ClassB_BasketballDrive_all,1,4,0.1,34.6,36.2,33.1,73.2,80.3,17,10,5,2,780,1164,105,129,52.8,0.195,14,91,1
ClassB_BasketballDrive_all,1,4,0.15,35.2,36.9,33.6,73.1,80.4,17,10,5,2,775,1170,105,131,52.8,0.195,12,93,1
ClassB_BasketballDrive_all,1,4,0.2,35.3,37.2,33.6,73.0,80.9,17,10,5,2,751,1173,104,128,53.3,0.195,13,91,1
ClassB_BasketballDrive_all,1,4,0.25,35.3,37.2,33.5,72.5,80.8,17,10,5,2,748,1193,102,131,53.0,0.194,9,94,2
ClassB_BasketballDrive_all,1,4,0.3,34.8,36.9,32.8,72.1,81.2,17,10,5,2,727,1211,101,127,53.1,0.193,8,93,1
ClassB_BasketballDrive_all,1,4,0.35,34.9,37.2,32.8,71.9,81.7,17,10,5,2,702,1221,101,123,53.4,0.193,8,92,0
ClassB_BasketballDrive_all,1,4,0.4,35.1,37.8,32.8,71.4,82.5,17,9,6,2,660,1244,104,125,53.8,0.191,8,95,0
ClassB_BasketballDrive_all,1,4,0.45,34.8,37.6,32.3,71.0,82.7,17,9,6,2,644,1261,105,125,53.7,0.191,7,97,0
ClassB_BasketballDrive_all,1,4,0.5,34.9,37.9,32.3,70.6,83.1,17,8,7,2,624,1279,102,120,53.9,0.190,6,95,0
ClassB_BasketballDrive_all,1,4,0.55,35.1,38.6,32.2,69.3,83.2,17,7,8,2,607,1335,99,119,53.0,0.189,5,93,0
ClassB_BasketballDrive_all,1,4,0.6,32.6,36.3,29.5,67.8,83.7,17,7,8,2,575,1397,101,121,52.3,0.187,5,95,0
ClassB_BasketballDrive_all,1,4,0.65,28.4,32.4,25.2,65.2,84.2,17,4,10,3,531,1511,102,122,50.7,0.183,4,97,0
ClassB_BasketballDrive_all,1,4,0.7,25.9,30.7,22.3,61.4,84.6,17,1,12,4,485,1677,109,128,47.7,0.178,3,106,0
ClassB_BasketballDrive_all,1,4,0.75,25.0,31.2,20.9,57.0,85.2,17,1,12,4,430,1868,112,128,44.5,0.175,2,110,0
ClassB_BasketballDrive_all,1,4,0.8,20.0,27.3,15.7,48.8,84.9,17,0,13,4,377,2223,150,161,36.7,0.171,2,148,0
ClassB_BasketballDrive_all,1,4,0.85,14.0,22.6,10.2,38.0,84.7,17,0,12,5,298,2695,164,166,27.3,0.167,0,164,0
ClassB_BasketballDrive_all,1,4,0.9,8.7,22.3,5.4,21.0,87.4,17,0,6,11,132,3433,134,133,14.9,0.160,0,134,0
ClassB_BasketballDrive_all,1,5,0.1,34.8,37.2,32.7,71.1,81.1,17,7,8,2,720,1257,95,118,52.3,0.192,13,82,1
ClassB_BasketballDrive_all,1,5,0.15,35.4,37.9,33.2,70.9,81.1,17,7,8,2,716,1264,96,120,52.2,0.192,12,84,1
ClassB_BasketballDrive_all,1,5,0.2,35.5,38.1,33.2,70.9,81.6,17,7,8,2,695,1266,96,119,52.7,0.192,13,83,1
ClassB_BasketballDrive_all,1,5,0.25,35.5,38.3,33.0,70.4,81.6,17,7,8,2,690,1288,94,120,52.3,0.191,9,85,1
ClassB_BasketballDrive_all,1,5,0.3,35.0,37.9,32.4,69.9,81.9,17,7,8,2,671,1306,92,115,52.4,0.190,9,83,1
ClassB_BasketballDrive_all,1,5,0.35,35.1,38.2,32.4,69.7,82.4,17,7,8,2,645,1315,93,113,52.8,0.190,9,83,0
ClassB_BasketballDrive_all,1,5,0.4,35.3,38.8,32.3,69.1,83.2,17,7,8,2,605,1342,96,115,53.0,0.188,9,86,0
ClassB_BasketballDrive_all,1,5,0.45,35.0,38.7,31.9,68.7,83.5,17,7,8,2,589,1358,98,116,52.9,0.188,8,89,0
ClassB_BasketballDrive_all,1,5,0.5,35.0,39.0,31.8,68.4,83.9,17,7,8,2,570,1374,97,115,53.0,0.188,7,89,0
ClassB_BasketballDrive_all,1,5,0.55,35.2,39.6,31.7,67.1,84.0,17,7,7,3,554,1430,95,115,52.2,0.186,6,88,0
ClassB_BasketballDrive_all,1,5,0.6,32.7,37.3,29.0,65.6,84.5,17,3,11,3,524,1496,96,114,51.3,0.184,6,89,0
ClassB_BasketballDrive_all,1,5,0.65,28.4,33.3,24.7,62.8,84.9,17,2,11,4,485,1616,92,111,49.5,0.182,4,88,0
ClassB_BasketballDrive_all,1,5,0.7,25.9,31.7,21.9,58.8,85.3,17,1,12,4,441,1790,99,117,46.4,0.177,3,96,0
ClassB_BasketballDrive_all,1,5,0.75,25.1,32.3,20.5,54.3,85.7,17,1,12,4,393,1985,99,113,43.0,0.174,2,97,0
ClassB_BasketballDrive_all,1,5,0.8,20.1,28.8,15.4,45.3,85.1,17,0,13,4,346,2376,128,137,34.4,0.170,2,126,0
ClassB_BasketballDrive_all,1,5,0.85,14.1,24.4,9.9,34.2,85.0,17,0,12,5,263,2859,137,138,25.0,0.167,0,137,0
ClassB_BasketballDrive_all,1,5,0.9,8.4,24.6,5.1,18.0,87.7,17,0,5,12,109,3565,114,109,12.8,0.160,0,114,0
ClassB_BasketballDrive_all,1,6,0.1,35.0,38.1,32.3,69.2,81.8,17,5,9,3,671,1339,87,112,51.7,0.191,12,75,1
ClassB_BasketballDrive_all,1,6,0.15,35.6,38.8,32.8,69.0,81.8,17,5,9,3,668,1347,87,113,51.6,0.191,11,76,1
ClassB_BasketballDrive_all,1,6,0.2,35.7,39.0,32.8,69.0,82.2,17,5,9,3,649,1349,87,112,52.0,0.191,12,75,1
ClassB_BasketballDrive_all,1,6,0.25,35.6,39.2,32.7,68.4,82.2,17,5,9,3,645,1373,86,113,51.6,0.190,8,78,1
ClassB_BasketballDrive_all,1,6,0.3,35.1,38.7,32.0,68.0,82.5,17,5,9,3,627,1389,86,111,51.6,0.189,8,78,1
ClassB_BasketballDrive_all,1,6,0.35,35.2,39.1,32.0,67.8,83.0,17,5,9,3,602,1400,86,108,51.9,0.189,8,77,0
ClassB_BasketballDrive_all,1,6,0.4,35.4,39.7,31.8,67.1,83.8,17,5,9,3,563,1431,88,110,52.1,0.187,8,79,0
ClassB_BasketballDrive_all,1,6,0.45,35.1,39.6,31.4,66.7,84.1,17,4,10,3,546,1448,89,111,52.1,0.187,7,81,0
