seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassC_PartyScene_0,1,1,0.1,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.15,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.2,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.25,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.3,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.35,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.4,80.5,81.0,80.1,96.1,97.2,3,3,0,0,21,30,7,8,92.4,0.134,1,6,0
ClassC_PartyScene_0,1,1,0.45,80.6,81.2,80.1,95.8,97.2,3,3,0,0,21,32,7,8,92.1,0.133,1,6,0
ClassC_PartyScene_0,1,1,0.5,80.6,81.2,80.1,95.8,97.2,3,3,0,0,21,32,7,8,92.1,0.133,1,6,0
ClassC_PartyScene_0,1,1,0.55,80.7,81.3,80.1,95.7,97.2,3,3,0,0,21,33,7,8,92.0,0.133,1,6,0
ClassC_PartyScene_0,1,1,0.6,80.8,81.6,79.9,95.1,97.2,3,3,0,0,21,37,10,13,91.1,0.130,1,9,0
ClassC_PartyScene_0,1,1,0.65,80.5,81.6,79.5,94.9,97.3,3,3,0,0,20,39,11,14,90.8,0.128,0,11,0
ClassC_PartyScene_0,1,1,0.7,78.4,79.7,77.2,94.2,97.3,3,3,0,0,20,44,15,17,89.6,0.125,0,15,0
ClassC_PartyScene_0,1,1,0.75,79.1,80.7,77.6,93.4,97.3,3,3,0,0,20,50,17,19,88.6,0.125,0,17,0
ClassC_PartyScene_0,1,1,0.8,78.3,80.1,76.5,92.9,97.3,3,2,1,0,20,54,18,21,87.9,0.125,0,18,0
ClassC_PartyScene_0,1,1,0.85,76.9,79.5,74.4,91.2,97.5,3,1,2,0,18,67,27,31,85.3,0.123,0,27,0
ClassC_PartyScene_0,1,1,0.9,75.0,79.6,71.0,87.3,97.8,3,1,2,0,15,97,39,40,80.2,0.121,0,39,0
ClassC_PartyScene_0,1,2,0.1,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.15,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.2,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.25,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.3,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.35,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.4,81.2,82.6,79.8,95.1,98.5,3,3,0,0,11,37,6,7,92.9,0.134,1,5,0
ClassC_PartyScene_0,1,2,0.45,81.3,82.9,79.8,94.8,98.5,3,3,0,0,11,40,5,6,92.7,0.133,1,4,0
ClassC_PartyScene_0,1,2,0.5,81.3,82.9,79.8,94.8,98.5,3,3,0,0,11,40,5,6,92.7,0.133,1,4,0
ClassC_PartyScene_0,1,2,0.55,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,5,6,92.7,0.133,1,4,0
ClassC_PartyScene_0,1,2,0.6,81.7,83.9,79.5,93.4,98.6,3,3,0,0,10,50,8,10,91.1,0.128,1,7,0
ClassC_PartyScene_0,1,2,0.65,81.5,84.0,79.1,92.9,98.6,3,2,1,0,10,54,9,11,90.4,0.126,0,9,0
ClassC_PartyScene_0,1,2,0.7,79.3,82.3,76.6,91.9,98.6,3,1,2,0,10,62,13,15,88.8,0.123,0,13,0
ClassC_PartyScene_0,1,2,0.75,80.2,83.6,77.0,90.8,98.6,3,1,2,0,10,70,12,14,87.9,0.123,0,12,0
ClassC_PartyScene_0,1,2,0.8,79.4,83.2,76.0,90.0,98.6,3,1,2,0,10,76,11,13,87.3,0.123,0,11,0
ClassC_PartyScene_0,1,2,0.85,78.3,83.5,73.8,87.0,98.5,3,1,2,0,10,99,17,20,83.5,0.120,0,17,0
ClassC_PartyScene_0,1,2,0.9,77.2,85.3,70.6,81.9,98.9,3,1,2,0,7,138,24,25,77.8,0.117,0,24,0
ClassC_PartyScene_0,1,3,0.1,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.15,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.2,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.25,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.3,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.35,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.4,81.5,83.6,79.5,94.2,99.0,3,3,0,0,7,44,6,6,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,3,0.45,81.6,83.8,79.5,94.0,99.0,3,3,0,0,7,46,5,5,92.4,0.133,1,4,0
ClassC_PartyScene_0,1,3,0.5,81.6,83.8,79.5,94.0,99.0,3,3,0,0,7,46,5,5,92.4,0.133,1,4,0
ClassC_PartyScene_0,1,3,0.55,81.7,84.0,79.5,93.8,99.2,3,3,0,0,6,47,5,5,92.4,0.132,1,4,0
ClassC_PartyScene_0,1,3,0.6,82.0,85.2,79.1,92.1,99.2,3,2,1,0,6,60,7,8,90.4,0.128,1,6,0
ClassC_PartyScene_0,1,3,0.65,82.0,85.5,78.7,91.3,99.1,3,2,1,0,6,66,8,9,89.5,0.126,0,8,0
ClassC_PartyScene_0,1,3,0.7,79.9,84.1,76.1,89.8,99.1,3,1,2,0,6,78,11,12,87.5,0.122,0,11,0
ClassC_PartyScene_0,1,3,0.75,80.7,85.4,76.5,88.8,99.1,3,1,2,0,6,85,9,11,86.9,0.122,0,9,0
ClassC_PartyScene_0,1,3,0.8,80.0,85.0,75.6,88.2,99.1,3,1,2,0,6,90,10,12,86.1,0.122,0,10,0
ClassC_PartyScene_0,1,3,0.85,79.0,86.0,73.1,84.3,99.1,3,1,2,0,6,120,11,14,82.0,0.119,0,11,0
ClassC_PartyScene_0,1,3,0.9,78.4,88.9,70.2,78.5,99.3,3,1,2,0,4,164,15,15,76.0,0.114,0,15,0
ClassC_PartyScene_0,1,4,0.1,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.15,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.2,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.25,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.3,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.35,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.4,81.8,84.4,79.4,93.4,99.3,3,2,1,0,5,50,5,5,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.45,81.9,84.5,79.4,93.3,99.3,3,2,1,0,5,51,5,5,92.0,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.5,81.9,84.5,79.4,93.3,99.3,3,2,1,0,5,51,5,5,92.0,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.55,82.0,84.7,79.4,93.2,99.4,3,2,1,0,4,52,5,5,92.0,0.132,1,4,0
ClassC_PartyScene_0,1,4,0.6,82.2,86.0,78.7,91.1,99.4,3,1,2,0,4,68,6,7,89.8,0.127,1,5,0
ClassC_PartyScene_0,1,4,0.65,82.2,86.5,78.3,90.0,99.4,3,1,2,0,4,76,7,8,88.6,0.125,0,7,0
ClassC_PartyScene_0,1,4,0.7,80.2,85.3,75.6,88.1,99.4,3,1,2,0,4,91,10,11,86.2,0.121,0,10,0
ClassC_PartyScene_0,1,4,0.75,80.9,86.5,76.0,87.3,99.4,3,1,2,0,4,97,9,11,85.6,0.120,0,9,0
ClassC_PartyScene_0,1,4,0.8,80.6,86.6,75.3,86.5,99.4,3,1,2,0,4,103,10,12,84.6,0.120,0,10,0
ClassC_PartyScene_0,1,4,0.85,79.3,87.5,72.4,82.3,99.4,3,1,2,0,4,135,9,11,80.6,0.117,0,9,0
