seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassC_PartyScene_0,1,1,0.1,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.15,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.2,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.25,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.3,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.35,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.4,80.7,81.4,80.1,95.5,97.2,3,3,0,0,21,34,6,9,92.0,0.134,1,5,0
ClassC_PartyScene_0,1,1,0.45,80.8,81.7,80.1,95.3,97.2,3,3,0,0,21,36,6,9,91.7,0.133,1,5,0
ClassC_PartyScene_0,1,1,0.5,80.8,81.7,80.1,95.3,97.2,3,3,0,0,21,36,6,9,91.7,0.133,1,5,0
ClassC_PartyScene_0,1,1,0.55,81.0,81.9,80.1,95.1,97.3,3,3,0,0,20,37,6,9,91.7,0.133,1,5,0
ClassC_PartyScene_0,1,1,0.6,81.0,82.1,79.9,94.8,97.3,3,3,0,0,20,40,8,13,91.1,0.130,1,7,0
ClassC_PartyScene_0,1,1,0.65,80.6,81.8,79.4,94.5,97.3,3,3,0,0,20,42,9,14,90.7,0.128,0,9,0
ClassC_PartyScene_0,1,1,0.7,78.5,80.1,77.0,93.7,97.4,3,2,1,0,19,48,14,18,89.4,0.125,0,14,0
ClassC_PartyScene_0,1,1,0.75,79.1,80.9,77.4,93.2,97.4,3,2,1,0,19,52,16,20,88.6,0.125,0,16,0
ClassC_PartyScene_0,1,1,0.8,78.5,80.7,76.4,92.4,97.6,3,2,1,0,17,58,19,23,87.7,0.125,0,19,0
ClassC_PartyScene_0,1,1,0.85,77.1,80.0,74.4,90.9,97.7,3,2,1,0,16,69,27,30,85.3,0.123,0,27,0
ClassC_PartyScene_0,1,1,0.9,75.2,80.0,71.0,87.0,98.1,3,1,2,0,13,99,39,40,80.2,0.121,0,39,0
ClassC_PartyScene_0,1,2,0.1,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.15,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.2,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.25,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.3,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.35,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.4,81.4,83.2,79.8,94.6,98.6,3,3,0,0,10,41,6,8,92.5,0.133,1,5,0
ClassC_PartyScene_0,1,2,0.45,81.7,83.6,79.8,94.1,98.6,3,3,0,0,10,45,5,6,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,2,0.5,81.7,83.6,79.8,94.1,98.6,3,3,0,0,10,45,5,6,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,2,0.55,81.8,83.9,79.8,94.0,98.8,3,3,0,0,9,46,5,6,92.1,0.132,1,4,0
ClassC_PartyScene_0,1,2,0.6,81.9,84.4,79.5,93.0,98.7,3,2,1,0,9,53,7,9,90.9,0.129,1,6,0
ClassC_PartyScene_0,1,2,0.65,81.5,84.3,78.9,92.4,98.7,3,2,1,0,9,58,8,10,90.2,0.127,0,8,0
ClassC_PartyScene_0,1,2,0.7,79.5,82.8,76.4,91.1,98.7,3,2,1,0,9,68,12,14,88.3,0.123,0,12,0
ClassC_PartyScene_0,1,2,0.75,80.2,83.9,76.8,90.3,98.7,3,1,2,0,9,74,11,14,87.7,0.123,0,11,0
ClassC_PartyScene_0,1,2,0.8,79.8,84.1,75.9,89.1,98.8,3,1,2,0,8,83,11,13,86.6,0.123,0,11,0
ClassC_PartyScene_0,1,2,0.85,78.5,84.0,73.8,86.7,98.8,3,1,2,0,8,101,15,18,83.7,0.120,0,15,0
ClassC_PartyScene_0,1,2,0.9,77.5,85.8,70.6,81.6,99.2,3,1,2,0,5,140,22,23,78.1,0.117,0,22,0
ClassC_PartyScene_0,1,3,0.1,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.15,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.2,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.25,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.3,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.35,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.4,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.45,81.9,84.5,79.5,93.3,99.2,3,2,1,0,6,51,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.5,81.9,84.5,79.5,93.3,99.2,3,2,1,0,6,51,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.55,82.1,84.8,79.5,93.2,99.3,3,2,1,0,5,52,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.6,82.2,85.5,79.1,91.9,99.3,3,2,1,0,5,62,6,7,90.4,0.128,1,5,0
ClassC_PartyScene_0,1,3,0.65,81.9,85.7,78.5,90.9,99.3,3,2,1,0,5,69,7,8,89.4,0.126,0,7,0
ClassC_PartyScene_0,1,3,0.7,79.9,84.5,75.9,89.1,99.3,3,1,2,0,5,83,10,11,87.1,0.122,0,10,0
ClassC_PartyScene_0,1,3,0.75,80.7,85.7,76.2,88.3,99.3,3,1,2,0,5,89,8,10,86.6,0.122,0,8,0
ClassC_PartyScene_0,1,3,0.8,80.4,86.0,75.6,87.3,99.3,3,1,2,0,5,97,8,10,85.6,0.121,0,8,0
ClassC_PartyScene_0,1,3,0.85,79.1,86.1,73.1,84.3,99.2,3,1,2,0,5,120,11,14,82.2,0.118,0,11,0
ClassC_PartyScene_0,1,3,0.9,78.5,89.0,70.2,78.5,99.5,3,1,2,0,3,164,15,15,76.1,0.114,0,15,0
ClassC_PartyScene_0,1,4,0.1,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.15,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.2,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.25,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.3,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.35,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.4,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.45,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.5,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.55,82.1,85.2,79.3,92.7,99.6,3,2,1,0,3,56,4,4,91.7,0.131,1,3,0
ClassC_PartyScene_0,1,4,0.6,82.3,86.2,78.7,90.9,99.6,3,1,2,0,3,69,5,6,89.9,0.128,1,4,0
ClassC_PartyScene_0,1,4,0.65,82.1,86.6,78.1,89.8,99.6,3,1,2,0,3,78,6,7,88.6,0.125,0,6,0
ClassC_PartyScene_0,1,4,0.7,80.2,85.7,75.3,87.5,99.6,3,1,2,0,3,95,9,10,86.0,0.120,0,9,0
ClassC_PartyScene_0,1,4,0.75,80.9,86.8,75.7,86.9,99.5,3,1,2,0,3,100,7,9,85.6,0.121,0,7,0
ClassC_PartyScene_0,1,4,0.8,80.9,87.4,75.3,85.8,99.5,3,1,2,0,3,108,8,10,84.4,0.120,0,8,0
ClassC_PartyScene_0,1,4,0.85,79.3,87.6,72.4,82.3,99.5,3,1,2,0,3,135,9,11,80.7,0.117,0,9,0
ClassC_PartyScene_0,1,4,0.9,79.1,91.3,69.8,76.4,99.8,3,1,2,0,1,180,9,9,75.1,0.112,0,9,0
ClassC_PartyScene_0,1,5,0.1,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.15,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
