seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassC_PartyScene_all,1,1,0.1,70.0,67.8,72.4,86.7,81.2,7,5,2,0,430,284,19,31,65.7,0.142,3,16,0
ClassC_PartyScene_all,1,1,0.15,70.0,67.8,72.4,86.7,81.2,7,5,2,0,430,284,19,31,65.7,0.142,3,16,0
ClassC_PartyScene_all,1,1,0.2,70.0,67.8,72.4,86.7,81.2,7,5,2,0,430,284,19,31,65.7,0.142,3,16,0
ClassC_PartyScene_all,1,1,0.25,70.0,67.8,72.4,86.7,81.1,7,5,2,0,430,285,20,30,65.6,0.142,3,17,0
ClassC_PartyScene_all,1,1,0.3,70.0,67.8,72.4,86.7,81.1,7,5,2,0,430,285,20,30,65.6,0.142,3,17,0
ClassC_PartyScene_all,1,1,0.35,70.0,67.8,72.4,86.7,81.1,7,5,2,0,430,285,20,30,65.6,0.142,3,17,0
ClassC_PartyScene_all,1,1,0.4,70.0,67.8,72.4,86.7,81.1,7,5,2,0,430,285,20,30,65.6,0.142,3,17,0
ClassC_PartyScene_all,1,1,0.45,70.1,67.9,72.4,86.5,81.1,7,5,2,0,430,289,21,29,65.4,0.142,3,18,0
ClassC_PartyScene_all,1,1,0.5,70.1,67.9,72.4,86.5,81.1,7,5,2,0,430,289,21,29,65.4,0.142,3,18,0
ClassC_PartyScene_all,1,1,0.55,70.1,68.0,72.4,86.4,81.1,7,5,2,0,430,291,20,29,65.3,0.141,3,17,0
ClassC_PartyScene_all,1,1,0.6,70.1,68.0,72.3,86.2,81.1,7,5,2,0,428,294,22,33,65.2,0.140,3,19,0
ClassC_PartyScene_all,1,1,0.65,69.8,67.8,71.9,86.0,81.2,7,5,2,0,426,298,26,36,64.9,0.139,2,24,0
ClassC_PartyScene_all,1,1,0.7,69.3,67.5,71.2,85.6,81.1,7,5,2,0,426,307,33,43,64.1,0.138,2,31,0
ClassC_PartyScene_all,1,1,0.75,69.6,67.9,71.3,85.3,81.3,7,5,2,0,420,313,36,46,64.0,0.138,2,34,0
ClassC_PartyScene_all,1,1,0.8,58.7,57.6,59.9,84.6,81.4,7,4,3,0,413,329,44,54,63.2,0.137,2,42,0
ClassC_PartyScene_all,1,1,0.85,57.6,57.1,58.1,83.1,81.7,7,4,3,0,398,361,63,71,61.5,0.136,1,60,0
ClassC_PartyScene_all,1,1,0.9,52.6,54.1,51.2,78.5,82.8,7,3,4,0,347,460,95,98,57.8,0.133,1,92,0
ClassC_PartyScene_all,1,2,0.1,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,17,24,66.9,0.141,2,15,0
ClassC_PartyScene_all,1,2,0.15,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,17,24,66.9,0.141,2,15,0
ClassC_PartyScene_all,1,2,0.2,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,17,24,66.9,0.141,2,15,0
ClassC_PartyScene_all,1,2,0.25,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,18,24,66.8,0.141,2,16,0
ClassC_PartyScene_all,1,2,0.3,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,18,24,66.8,0.141,2,16,0
ClassC_PartyScene_all,1,2,0.35,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,18,24,66.8,0.141,2,16,0
ClassC_PartyScene_all,1,2,0.4,71.1,69.9,72.3,85.5,82.7,7,5,2,0,382,309,18,24,66.8,0.141,2,16,0
ClassC_PartyScene_all,1,2,0.45,71.1,70.0,72.2,85.3,82.7,7,5,2,0,382,314,17,22,66.6,0.141,2,15,0
ClassC_PartyScene_all,1,2,0.5,71.1,70.0,72.2,85.3,82.7,7,5,2,0,382,314,17,22,66.6,0.141,2,15,0
ClassC_PartyScene_all,1,2,0.55,71.2,70.1,72.2,85.2,82.7,7,5,2,0,381,316,16,21,66.6,0.141,2,14,0
ClassC_PartyScene_all,1,2,0.6,71.1,70.1,72.1,84.9,82.6,7,5,2,0,381,323,18,24,66.2,0.140,2,16,0
ClassC_PartyScene_all,1,2,0.65,70.8,70.1,71.6,84.4,82.6,7,4,3,0,379,333,21,26,65.7,0.138,1,20,0
ClassC_PartyScene_all,1,2,0.7,70.3,69.9,70.8,83.7,82.5,7,4,3,0,379,349,27,32,64.7,0.136,1,26,0
ClassC_PartyScene_all,1,2,0.75,70.8,70.6,71.0,83.2,82.9,7,3,4,0,368,358,26,33,64.8,0.136,1,25,0
ClassC_PartyScene_all,1,2,0.8,59.8,60.2,59.5,82.0,82.9,7,3,4,0,361,384,32,38,63.6,0.136,1,31,0
ClassC_PartyScene_all,1,2,0.85,59.1,60.4,57.7,79.6,83.4,7,3,4,0,339,435,44,49,61.7,0.134,0,44,0
ClassC_PartyScene_all,1,2,0.9,54.8,59.4,50.9,73.7,86.0,7,3,4,0,256,561,57,61,59.1,0.130,2,55,0
ClassC_PartyScene_all,1,3,0.1,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.15,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.2,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.25,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.3,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.35,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.4,71.8,71.5,72.1,84.6,83.8,7,5,2,0,350,330,13,17,67.6,0.141,2,11,0
ClassC_PartyScene_all,1,3,0.45,71.8,71.5,72.1,84.4,83.7,7,5,2,0,350,333,11,15,67.5,0.140,2,9,0
ClassC_PartyScene_all,1,3,0.5,71.8,71.5,72.1,84.4,83.7,7,5,2,0,350,333,11,15,67.5,0.140,2,9,0
ClassC_PartyScene_all,1,3,0.55,71.8,71.6,72.1,84.4,83.8,7,5,2,0,349,334,11,15,67.5,0.140,2,9,0
ClassC_PartyScene_all,1,3,0.6,71.7,71.6,71.8,83.9,83.7,7,4,3,0,349,344,13,18,66.9,0.139,2,11,0
ClassC_PartyScene_all,1,3,0.65,71.5,71.7,71.3,83.3,83.7,7,4,3,0,346,357,15,19,66.4,0.137,1,14,0
ClassC_PartyScene_all,1,3,0.7,71.1,71.6,70.5,82.2,83.5,7,3,4,0,346,380,18,23,65.2,0.135,1,17,0
ClassC_PartyScene_all,1,3,0.75,71.6,72.7,70.6,81.7,84.1,7,3,4,0,331,390,18,24,65.4,0.135,1,17,0
ClassC_PartyScene_all,1,3,0.8,60.6,62.1,59.3,80.3,84.1,7,3,4,0,324,420,25,31,64.0,0.134,1,24,0
ClassC_PartyScene_all,1,3,0.85,60.1,63.1,57.4,77.3,85.0,7,3,4,0,292,484,33,39,62.1,0.132,0,33,0
ClassC_PartyScene_all,1,3,0.9,56.2,63.3,50.6,71.0,88.7,7,3,4,0,193,620,41,43,60.0,0.128,1,40,0
ClassC_PartyScene_all,1,4,0.1,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.15,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.2,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.25,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.3,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.35,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.4,72.4,72.8,72.0,83.9,84.8,7,4,3,0,321,344,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.45,72.4,72.8,72.0,83.8,84.8,7,4,3,0,321,345,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.5,72.4,72.8,72.0,83.8,84.8,7,4,3,0,321,345,10,14,68.4,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.55,72.4,72.8,72.0,83.8,84.8,7,4,3,0,321,346,10,14,68.3,0.140,2,8,0
ClassC_PartyScene_all,1,4,0.6,72.2,72.9,71.6,83.2,84.7,7,3,4,0,321,359,11,16,67.6,0.139,2,9,0
ClassC_PartyScene_all,1,4,0.65,72.1,73.1,71.1,82.5,84.8,7,3,4,0,317,374,13,17,67.0,0.137,1,12,0
ClassC_PartyScene_all,1,4,0.7,71.6,73.1,70.2,81.2,84.6,7,3,4,0,316,401,16,21,65.7,0.135,1,15,0
ClassC_PartyScene_all,1,4,0.75,72.2,74.2,70.3,80.7,85.1,7,3,4,0,301,412,17,23,65.8,0.134,1,16,0
ClassC_PartyScene_all,1,4,0.8,61.3,63.7,59.0,79.0,85.2,7,3,4,0,294,449,22,28,64.2,0.133,1,21,0
ClassC_PartyScene_all,1,4,0.85,60.9,65.2,57.1,75.6,86.4,7,3,4,0,255,522,27,32,62.4,0.131,0,27,0
ClassC_PartyScene_all,1,4,0.9,57.2,66.5,50.3,69.0,91.2,7,3,3,1,143,663,27,29,61.0,0.126,1,26,0
ClassC_PartyScene_all,1,5,0.1,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.15,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.2,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.25,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.3,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.35,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.4,72.9,73.9,71.9,83.4,85.8,7,4,3,0,295,355,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.45,72.9,73.9,71.8,83.3,85.8,7,4,3,0,295,356,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.5,72.9,73.9,71.8,83.3,85.8,7,4,3,0,295,356,10,13,69.1,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.55,72.9,74.0,71.8,83.3,85.8,7,4,3,0,295,357,10,13,69.0,0.140,2,8,0
ClassC_PartyScene_all,1,5,0.6,72.7,74.0,71.3,82.6,85.7,7,3,4,0,295,372,11,15,68.3,0.138,2,9,0
ClassC_PartyScene_all,1,5,0.65,72.6,74.4,70.9,81.8,85.8,7,3,4,0,290,389,11,14,67.7,0.137,1,10,0
ClassC_PartyScene_all,1,5,0.7,72.1,74.5,69.9,80.3,85.6,7,3,4,0,289,420,14,18,66.2,0.134,1,13,0
ClassC_PartyScene_all,1,5,0.75,72.7,75.6,70.0,79.8,86.1,7,3,4,0,274,432,18,21,66.1,0.134,1,16,0
ClassC_PartyScene_all,1,5,0.8,61.8,65.1,58.8,77.8,86.2,7,3,4,0,267,474,21,24,64.3,0.133,1,19,0
ClassC_PartyScene_all,1,5,0.85,61.5,67.1,56.7,74.2,87.7,7,3,3,1,222,552,24,26,62.6,0.130,0,24,0
ClassC_PartyScene_all,1,5,0.9,57.9,69.0,50.0,67.6,93.4,7,3,3,1,102,691,22,22,61.8,0.126,0,22,0
ClassC_PartyScene_all,1,6,0.1,73.4,75.1,71.8,83.0,86.8,7,4,3,0,270,364,11,12,69.8,0.139,3,8,0
ClassC_PartyScene_all,1,6,0.15,73.4,75.1,71.8,83.0,86.8,7,4,3,0,270,364,11,12,69.8,0.139,3,8,0
ClassC_PartyScene_all,1,6,0.2,73.4,75.1,71.8,83.0,86.8,7,4,3,0,270,364,11,12,69.8,0.139,3,8,0
ClassC_PartyScene_all,1,6,0.25,73.4,75.1,71.8,83.0,86.8,7,4,3,0,270,364,11,12,69.8,0.139,3,8,0
